,number,context,question,A,B,C,D,E,answer,context-images
0,92,"


If You Can’t Master English, Try Globish
PARIS — It happens all the time: during an airport delay the man to the left, a Korean perhaps, starts talking to the man opposite, who might be Colombian, and soon they are chatting away in what seems to be English. But the native English speaker sitting between them cannot understand a word.
They don’t know it, but the Korean and the Colombian are speaking Globish, the latest addition to the 6,800 languages that are said to be spoken across the world. Not that its inventor, Jean-Paul Nerrière, considers it a proper language.
“It is not a language, it is a tool,” he says. “A language is the vehicle of a culture. Globish doesn’t want to be that at all. It is a means of communication.”
Nerrière doesn’t see Globish in the same light as utopian efforts such as Kosmos, Volapuk, Novial or staunch Esperanto. Nor should it be confused with barbaric Algol (for Algorithmic language). It is a sort of English lite: a means of simplifying the language and giving it rules so it can be understood by all.

BLUME, M. Disponível em: www.nytimes.com. Acesso em: 28 out. 2013 (fragmento)



","

Considerando as ideias apresentadas no texto, o Globish (Global English) é uma variedade da língua inglesa que


",tem status de língua por refletir uma cultura global.,facilita o entendimento entre o falante nativo e o não nativo.,tem as mesmas características de projetos utópicos como o esperanto.,altera a estrutura do idioma para possibilitar a comunicação internacional.,apresenta padrões de fala idênticos aos da variedade usada pelos falantes nativos.,D,
1,95,"


El robo
Para los niños
anchos espacios tiene el día
y las horas
son calles despejadas
abiertas avenidas.
A nosotros, se estrecha
el tiempo de tal modo
que todo está apretado y oprimido.
Se atropellan los tiempos
Casi no da lugar un día a otro.
No bien ha amanecido
cae la luz a pique
en veloz mediodía
y apenas la contemplas
huye en atardeceres
hacia pozos de sombra.
Dice una voz:
entre vueltas y vueltas
se me fue el día.
Algún ladrón
oculto roba mi vida.

MAIA, C. Obra poética. Montevidéu: Rebecalinke, 2010.



","

O poema El robo, de Circe Maia, poetisa uruguaia contemporânea, trata do(a)


",problema do abandono de crianças nas ruas.,excesso de trabalho na sociedade atual.,angústia provocada pela fugacidade do tempo.,violência nos grandes centros urbanos.,repressão dos sentimentos e da liberdade.,C,
2,91,"


Emigrantes
En todo emigrante existen dos posibles actitudes vitales: una la de considerar su experiencia como aventura pasajera, vivir mental y emocionalmente en la patria de origen, cultivando su nostalgia, y definir la realidad presente por comparación con el mundo que se ha dejado; la otra es vivir el presente tal como viene dado, proyectarlo en el futuro, cortar raíces y dominar nostalgias, sumergirse en la nueva cultura, aprenderla y asimilarla. El drama personal del emigrante reside en el hecho de que casi nunca es posible esa elección en términos absolutos y, al igual que el mestizo, se siente parte de dos mundos sin integrarse por completo en uno de ellos con exclusión del otro.

DEL CASTILLO, G. C. América hispánica (1492-1892). In: DE LARA, M. T. Historia de España. Barcelona: Labor, 1985



","

O texto apresenta uma reflexão sobre a condição do imigrante, o qual, para o autor, tem de lidar com o dilema da


",constatação de sua existência no entrelugar.,instabilidade da vida em outro país.,ausência de referências do passado.,apropriação dos valores do outro.,ruptura com o país de origem.,A,
3,95,"


The Road Not Taken (by Robert Frost)
Two roads diverged in a wood, and I —
I took the one less traveled by,
And that has made all the difference.

Disponível em: www.poetryfoundation.org. Acesso em: 29 nov. 2011 (fragmento).



","

Estes são os versos finais do famoso poema The Road Not Taken, do poeta americano Robert Frost. Levando-se em consideração que a vida é comumente metaforizada como uma viagem, esses versos indicam que o autor


",festeja o fato de ter sido ousado na escolha que fez em sua vida.,lamenta por ter sido um viajante que encontrou muitas bifurcações.,viaja muito pouco e que essa escolha fez toda a diferença em sua vida.,reconhece que as dificuldades em sua vida foram todas superadas.,percorre várias estradas durante as diferentes fases de sua vida.,A,
4,94,"


Aunque me cuesta mucho trabajo y me hace sudar la gota gorda, y, como todo escritor, siento a veces la amenaza de la parálisis, de la sequía de la imaginación, nada me ha hecho gozar en la vida tanto como pasarme los meses y los años construyendo una historia, desde su incierto despuntar, esa imagen que la memoria almacenó de alguna experiencia vivida, que se volvió un desasosiego, un entusiasmo, un fantaseo que germinó luego en un proyecto y en la decisión de intentar convertir esa niebla agitada de fantasmas en una historia. “Escribir es una manera de vivir”, dijo Flaubert.
Discurso de Mario Vargas Llosa al recibir el Premio Nobel de Literatura 2010.

Disponível em: www.nobelprize.org. Acesso em: 7 maio 2014 (fragmento)




O trecho apresentado trata do fazer literário, a partir da perspectiva de Vargas Llosa.


","

Com base no fragmento “me hace sudar la gota gorda”, infere-se que o artifício da escritura, para o escritor,


",ativa a memória e a fantasia.,baseia-se na imaginação inspiradora.,fundamenta-se nas experiências de vida.,requer entusiasmo e motivação.,demanda expressiva dedicação.,E,
5,92,"


En un año de campaña paraguaya, he visto muchas cosas tristes…
He visto la tierra, con su fertilidad incoercible y salvaje, sofocar al hombre, que arroja una semilla y obtiene cien plantas diferentes y no sabe cuál es la suya. He visto los viejos caminos que abrió la tiranía devorados por la vegetación, desleídos por las innundaciones, borrados por el abandono.

BARRET, R. Lo que he visto. Cuba: XX Feria Internacional del Libro de la Habana, 2011.




Rafael Barret nasceu na Espanha e, ainda jovem, foi viver no Paraguai.


","

O fragmento do texto Lo que hai visto revela um pouco da percepção do escritor sobre a realidade paraguaia, marcada, em essência, pelo(a)


",desalento frente às adversidades naturais.,amplo conhecimento da flora paraguaia.,impossibilidade de cultivo da terra.,necessidade de se construírem novos caminhos.,despreparo do agricultor no trato com a terra.,A,
6,100,"


Só há uma saída para a escola se ela quiser ser mais bem-sucedida: aceitar a mudança da língua como um fato. Isso deve significar que a escola deve aceitar qualquer forma da língua em suas atividades escritas? Não deve mais corrigir? Não!
Há outra dimensão a ser considerada: de fato, no mundo real da escrita, não existe apenas um português correto, que valeria para todas as ocasiões: o estilo dos contratos não é o mesmo do dos manuais de instrução; o dos juízes do Supremo não é o mesmo do dos cordelistas; o dos editoriais dos jornais não é o mesmo do dos cadernos de cultura dos mesmos jornais. Ou do de seus colunistas.

POSSENTI, S. Gramática na cabeça. Língua Portuguesa, ano 5, n. 67, maio 2011 (adaptado).




Sírio Possenti defende a tese de que não existe um único “português correto”.


","

Assim sendo, o domínio da língua portuguesa implica, entre outras coisas, saber


",descartar as marcas de informalidade do texto.,reservar o emprego da norma padrão aos textos de circulação ampla.,moldar a norma padrão do português pela linguagem do discurso jornalístico.,adequar as formas da língua a diferentes tipos de texto e contexto.,desprezar as formas da língua previstas pelas gramáticas e manuais divulgados pela escola.,D,
7,98,"


Em uma escala de 0 a 10, o Brasil está entre 3 e 4 no quesito segurança da informação. “Estamos começando a acordar para o problema. Nessa história de espionagem corporativa, temos muita lição a fazer. Falta consciência institucional e um longo aprendizado. A sociedade caiu em si e viu que é uma coisa que nos afeta”, diz S.P., pós-doutor em segurança da informação. Para ele, devem ser estabelecidos canais de denúncia para esse tipo de situação. De acordo com o conselheiro do Comitê Gestor da Internet (CGI), o Brasil tem condições de desenvolver tecnologia própria para garantir a segurança dos dados do país, tanto do governo quanto da população. “Há uma massa de conhecimento dentro das universidades e em empresas inovadoras que podem contribuir propondo medidas para que possamos mudar isso [falta de segurança] no longo prazo”. Ele acredita que o governo tem de usar o seu poder de compra de softwares e hardwares para a área da segurança cibernética, de forma a fomentar essas empresas, a produção de conhecimento na área e a construção de uma cadeia de produção nacional.

SARRES, C. Disponível em: www.ebc.com.br. Acesso em: 22 nov. 2013 (adaptado).



","

Considerando-se o surgimento da espionagem corporativa em decorrência do amplo uso da internet, o texto aponta uma necessidade advinda desse impacto, que se resume em


",alertar a sociedade sobre os riscos de ser espionada.,promover a indústria de segurança da informação.,discutir a espionagem em fóruns internacionais.,incentivar o aparecimento de delatores.,treinar o país em segurança digital.,B,
8,93,"


A Tall Order
The sky isn’t the limit for an architect building the world’s first invisible skyscraper
Charles Wee, one of the world’s leading high-rise architects, has a confession to make: he’s bored with skyscrapers. After designing more than 30, most of which punctuate the skulines od rapidly expanding Asian cities, he has struck upon a novel concept: the firts invisible skyscraper.
As the tallest structure in South Korea, his Infinity Tower loom over Seoul until somebody pushes a button and it completely disappears.
When he entered a 2004 competition to design a landmark tower, the Korean-American architect rejected the notion of competing with Dubai, Toronto, and Shanghai to reach the summit of man-made summits. “I thought, let’s not jump into this stupid race to build another ‘tallest’ tower,” he says in a phone conversation. “Let’s take an opposite approach — let’s make an anti-tower.”
The result will be a 150-story building that fades from view at the flick of a switch. The tower will effectively function as an enormous television screen, being able to project an exact replica of whatever is happening behind it onto its façade. To the human eye, the building will appear to have melted away.
It will be the most extraordinary achievement of Wee’s stellar architectural career. After graduating from UCLA, he worked under Anthony Lumsdenm, a prolific California architect who helped devise the modern technique of wrapping buildings inside smooth glass skins.

HINES, N. Disponível em: (http://mag.newsweek.com). Acesso em: 13 out. 2013 (adaptado).



","

No título e no subtítulo desse texto, as expressões A Tall Order e The sky isn’t the limit são usadas para apresentar uma matéria cujo tema é


",Inovações tecnológicas usadas para a construção de um novo arranha-céu em Seul.,Confissões de um arquiteto que busca se destacar na construção de arranha-céus.,Técnicas a serem estabelecidas para a construção de edifícios altos na Califórnia.,Competição entre arquitetos para a construção do edifício mais alto do mundo.,Construção de altas torres de apartamentos nas grandes metrópoles da Ásia.,A,
9,94,"


Masters of War
Come you masters of war
You that build all the guns You that build the death planes
You that build the big bombs
You that hide behind walls
You that hide behind desks
I just want you to know
I can see through your masks
You that never done nothin’
But build to destroy
You play with my world
Like it’s your little toy
You put a gun in my hand
And you hide from my eyes
And you turn and run farther
When the fast bullets fly
Like Judas of old
You lie and deceive
A world war can be won
You want me to believe
But I see through your eyes
And I see through your brain
Like I see through the water
That runs down my drain.

BOB DYLAN. The Freewheelin’ Bob Dylan. Nova York: Columbia Records, 1963 (fragmento).



","

Na letra da canção Masters of War, há questionamentos e reflexões que aparecem na forma de protesto contra


",o envio de jovens à guerra para promover a expansão territorial dos Estados Unidos.,o comportamento dos soldados norte-americanos nas guerras de que participaram.,o sistema que recruta soldados para guerras motivadas por interesses econômicos.,o desinteresse do governo pelas famílias dos soldados mortos em campos de batalha.,"as Forças Armadas norte-americanas, que enviavam homens despreparados para as guerras.",C,
