,number,context,question,A,B,C,D,E,answer,context-images
0,142,"








Suponha que a variação percentual relativa na taxa de fecundidade no período de 2000 a 2010 se repita no período de 2010 a 2020.


","

Nesse caso, em 2020 a taxa de fecundidade no Brasil estará mais próxima de


","1,14.","1,42.","1,52.","1,70.","1,80.",C,enem-data/enem-2014/142-images/context_img_0.png
1,137,"








Em seguida, retira-se o cilindro de madeira do meio do papel enrolado, finalizando a confecção do diploma. Considere que a espessura da folha de papel original seja desprezível.
 


","

Qual é a medida, em centímetros, do lado da folha de papel usado na confecção do diploma?
 


",π d  ,2π d  ,4π d  ,5π d  ,10π d,D,enem-data/enem-2014/137-images/context_img_0.png
2,145,"







","

O maior valor possível para x, em centímetros, para que a caixa permaneça dentro dos padrões permitidos pela Anac é:
 


",25.,33.,42.,45.,49.,E,enem-data/enem-2014/145-images/context_img_0.png
3,146,"








Será produzida uma nova lata, com os mesmos formato e volume, de tal modo que as dimensões de sua base sejam 25% maiores que as da lata atual.
 


","

Para obter a altura da nova lata, a altura da lata atual deve ser reduzida em
 


","14,4%  ","20,0%  ","32,0%  ","36,0%  ","64,0%",D,enem-data/enem-2014/146-images/context_img_0.png
4,136,"








Deseja-se reproduzi-la numa folha de papel retangular com 42 cm de comprimento e 30 cm de altura, deixando livres 3 cm em cada margem, conforme a Figura 2.











A reprodução da gravura deve ocupar o máximo possível da região disponível, mantendo-se as proporções da Figura 1

PRADO, A. C. Superinteressante, ed. 301, fev. 2012 (adaptado).



","

A escala da gravura reproduzida na folha de papel é


",1 : 3.,1 : 4.,1 : 20.,1 : 25.,1 : 32.,D,"enem-data/enem-2014/136-images/context_img_0.png,enem-data/enem-2014/136-images/context_img_1.png"
5,141,"









Suponha que a taxa de desemprego oculto do mês de dezembro de 2012 tenha sido a metade da mesma taxa em junho de 2012 e que a taxa de desemprego total em dezembro de 2012 seja igual a essa taxa em dezembro de 2011.

Disponível em: dieese.org.br. Acesso em: 1 ago. 2012 (fragmento).



","

Nesse caso, a taxa de desemprego aberto de dezembro de 2012 teria sido, em termos percentuais, de
 


","1,1.","3,5.","4,5.","6,8.","7,9.",E,enem-data/enem-2014/141-images/context_img_0.png
6,150,"







","

A menor nota que o candidato II deverá obter na prova final de química para vencer a competição é
 


",18.,19.,22.,25.,26.,A,enem-data/enem-2014/150-images/context_img_0.png
7,143,"









Os resultados obtidos permitiram que estados, municípios e o governo federal estabelecessem as regiões prioritárias do país para a intensificação das campanhas de doação de sangue.
A campanha deveria ser intensificada nas regiões em que o percentual de doadores por habitantes fosse menor ou igual ao do país.

Disponível em: http://bvsms.saude.gov.br. Acesso em: 2 ago. 2013 (adaptado).




","

As regiões brasileiras onde foram intensificadas campanhas na época são


","Norte, Centro-Oeste e Sul.","Norte, Nordeste e Sudeste.","Nordeste, Norte e Sul.","Nordeste, Sudeste e Sul.","Centro-Oeste, Sul e Sudeste.",B,enem-data/enem-2014/143-images/context_img_0.png
8,148,"







","

Qual deve ser o aumento na receita da empresa para que o lucro mensal em 2014 seja o mesmo de 2013?


","R$ 114 285,00  ","R$ 130 000,00  ","R$ 160 000,00 ","R$ 210 000,00  ","R$ 213 333,00",B,enem-data/enem-2014/148-images/context_img_0.png
9,159,"


O Brasil é um país com uma vantagem econômica clara no terreno dos recursos naturais, dispondo de uma das maiores áreas com vocação agrícola do mundo. Especialistas calculam que, dos 853 milhões de hectares do país, as cidades, as reservas indígenas e as áreas de preservação, incluindo florestas e mananciais, cubram por volta de 470 milhões de hectares. Aproximadamente 280 milhões se destinam à agropecuária, 200 milhões para pastagens e 80 milhões para a agricultura, somadas as lavouras anuais e as perenes, como o café e a fruticultura.
 

FORTES, G. Recuperação de pastagens é alternativa para ampliar cultivos. Folha de S. Paulo, 30 out. 2011.




","

De acordo com os dados apresentados, o percentual correspondente à área utilizada para agricultura em relação à área do território brasileiro é mais próximo de
 


","32,8%","28,6%","10,7%","9,4%","8,0%",D,
