,number,context,question,A,B,C,D,E,answer,context-images
0,47,"


Para impedir a contaminação microbiana do suprimento de água, deve-se eliminar as emissões de efluentes e, quando necessário, tratá-lo com desinfetante. O ácido hipocloroso (HClO), produzido pela reação entre cloro e água, é um dos compostos mais empregados como desinfetante. Contudo, ele não atua somente como oxidante, mas também como um ativo agente de cloração. A presença de matéria orgânica dissolvida no suprimento de água clorada pode levar à formação de clorofórmio (CHCl3) e outras espécies orgânicas cloradas tóxicas

SPIRO, T. G.; STIGLIANI, W. M. Química ambiental. São Paulo: Pearson, 2009 (adaptado).



","

Visando eliminar da água o clorofórmio e outras moléculas orgânicas, o tratamento adequado é a:


","filtração, com o uso de filtros de carvão ativo","fluoretação, pela adição de fluoreto de sódio","coagulação, pela adição de sulfato de alumínio.","correção do pH, pela adição de carbonato de sódio.","floculação, em tanques de concreto com a água em movimento.",A,
1,46,"


É comum aos fotógrafos tirar fotos coloridas em ambiente iluminados por lampadas fluorescentes, que contêm uma forte composição de luz verde. A consequências desse fato na fotografia é que todos os objetos claros, principalmente os brancos, aparecerão esverdeados. Para equilibrar as cores, deve-se usar um filtro adequado para diminuir a intensidade da luz verde que chega aos sensores da câmera fotográfica. Na escolha desse filtro, utiliza-se o conhecimento da composição das cores-luz primárias: vermelho, verde e azul; e das cores-luz secundárias: amarelo = vermelho + verde, ciano = verde + azul e magenta = vermelho + azul.

Disponível em:http://nautilus.fis.uc.pt. Acesso em 20 maio 2014 (adaptado)



","

Na situação descrita, qual deve ser o filtro utilizado para que a fotografia apresente as cores naturais dos objetos?


",Ciano.,Verde.,Amarelo.,Magenta.,Vermelho.,D,
2,50,"


Grandes fontes de emissão do gás dióxido de enxofre são as indústrias de extração de cobre e níquel, em decorrência da oxidação dos minérios sulfurados. Para evitar a liberação desses óxidos na atmosfera e a consequente formação da chuva ácida, o gás pode ser lavado, em um processo conhecido como dessulfurização, conforme mostrado na equação (1).
CaCO3(s) + SO2(g) → CaSO3(s) + CO2(g) (1)
Por sua vez, o sulfito de cálcio formado por ser oxidado, com o auxílio do ar atmosférico, para a obtenção do sulfato de cálcio, como mostrado na equação (2). Essa etapa é de grande interesse porque o produto da reação, popularmente conhecido como gesso, é utilizado para fins agrícolas.
2 CaSO3(s) + O2(g) → 2CaSO4(s) (2)
As massas molares dos elementos carbono, oxigênio, enxofre e cálcio são iguais a 12 g/mol, 16 g/mol, 32 g/mol e 40 g/mol, respectivamente.

BAIRD, C. Química ambiental. Porto Alegre: Bookman, 2002 (adaptado).



","

Considerando um rendimento de 90% no processo, a massa de gesso obtida, em gramas, por mol de gás retido é mais próxima de


",64.,108.,122.,136.,245.,C,
3,56,"

A elevação da temperatura das águas de rios, lagos e mares diminui a solubilidade do oxigênio, pondo em risco as diversas formas de vida aquática que dependem desse gás. Se essa elevação de temperatura acontece por meio artificiais, dizemos que existe poluição térmica. As usinas nucleares, pela própria natureza do processo de geração de energia, podem causar esse tipo de poluição.


","

Que parte do ciclo de geração de energia das usinas nucleares está associada a esse tipo de poluição?


",Fissão do material radioativo.,Condensação do vapor-d’água no final do processo.,Conversão de energia das turbinas pelos geradores.,Aquecimento da água líquida para gerar vapor-d’água.,Lançamento do vapor-d’água sobre as pás das turbinas.,B,
4,51,"

Na década de 1990, células do cordão umbilical de recém-nascidos humanos começaram a ser guardadas por criopreservação, uma vez que apresentam alto potencial terapêutico em consequência de suas características peculiares.


","

O poder terapêutico dessas células baseia-se em sua capacidade de


",multiplicação lenta.,comunicação entre células.,adesão a diferentes tecidos.,diferenciação em células especializadas.,reconhecimento de células semelhantes.,D,
5,59,"


Alguns sistemas de segurança incluem detectores de movimento. Nesses sensores, existe uma substância que se polariza na presença de radiação eletromagnética de certa região de frequência, gerando uma tensão que pode ser amplificada e empregada para efeito de controle. Quando uma pessoa se aproxima do sistema, a radiação emitida por seu corpo é detectada por esse tipo de sensor.

WENDLING, M. Sensores. Disponível em: www2.feg.unesp.br. Acesso em: 7 maio 2014 (adaptado).



","

A radiação captada por esse detector encontra-se na região de frequência


",da luz visível.,do ultravioleta.,do infravermelho.,das micro-ondas.,das ondas longas de rádio.,C,
6,61,"


Com o objetivo de substituir as sacolas de polietileno, alguns supermercados têm utilizado um novo tipo de plástico ecológico, que apresenta em sua composição amido de milho e uma resina polimérica termoplástica, obtida a partir de uma fonte petroquímica.

ERENO, D. Plásticos de vegetais. Pesquisa Fapesp, n. 179, jan. 2011 (adaptado).



","

Nesses plásticos, a fragmentação da resina polimérica é facilitada porque os carboidratos presentes


",dissolvem-se na água.,absorvem água com facilidade.,caramelizam por aquecimento e quebram.,são digeridos por organismos decompositores.,decompõem-se espontaneamente em contato com água e gás carbônico.,D,
7,54,"

Uma proposta de dispositivo capaz de indicar a qualidade da gasolina vendida em postos e, consequentemente, evitar fraudes, poderia utilizar o conceito de refração luminosa. Nesse sentido, a gasolina não adulterada, na temperatura ambiente, apresenta razão entre os senos dos raios incidente e refratado igual a 1,4. Desse modo, fazendo incidir o feixe de luz proveniente do ar com um angulo fixo e maior que zero, qualquer modificação no angulo do feixe refratado indicará adulteração no combustível.


","

Em uma fiscalização rotineira, o teste apresentou o valor de 1,9. Qual foi o comportamento do raio refratado?


",Mudou de sentido.,Sofreu reflexão total.,Atingiu o valor do ângulo limite.,Direcionou-se para a superfície de separação.,Aproximou-se da normal à superfície de separação.,E,
8,53,"







","

Se o ângulo de inclinação do plano de subida for reduzido a zero, a esfera


","manterá sua velocidade constante, pois o impulso resultante sobre ela será nulo.","manterá sua velocidade constante, pois o impulso da descida continuará a empurrá-la.","diminuirá gradativamente a sua velocidade, pois não haverá mais impulso para empurrá-la.","diminuirá gradativamente a sua velocidade, pois o impulso resultante será contrário ao seu movimento.","aumentará gradativamente a sua velocidade, pois não haverá nenhum impulso contrário ao seu movimento.",A,enem-data/enem-2014/53-images/context_img_0.png
9,52,"

Durante um teste de controle para o desenvolvimento de novas lentes fotocromáticas, foram analisadas cinco amostras, que utilizam reagentes químicos diferentes. No quadro, são apresentados os resultados.









","

Considerando os três aspectos, qual é a melhor amostra de lente fotocromática para se utilizar em óculos?


",1,2,3,4,5,C,enem-data/enem-2014/52-images/context_img_0.png
