,number,context,question,A,B,C,D,E,answer,context-images
0,149,"


• Marca A: 2 g de fibras a cada 50 g de pão;
• Marca B: 5 g de fibras a cada 40 g de pão;
• Marca C: 5 g de fibras a cada 100 g de pão;
• Marca D: 6 g de fibras a cada 90 g de pão;
• Marca E: 7 g de fibras a cada 70 g de pão.
Recomenda-se a ingestão do pão que possui a maior concentração de fibras.

Disponível em: www.blog.saude.gov.br. Acesso em: 25 fev. 2013.



","

A marca a ser escolhida é


",A,B,C,D,E,B,
1,136,"








Com base nessas simulações, observou-se que a trajetória do projétil B deveria ser alterada para que o objetivo fosse alcançado.


","

Para alcançar o objetivo, o coeficiente angular da reta que representa a trajetória de B deverá


",diminuir em 2 unidades,diminuir em 4 unidades,aumentar em 2 unidades.,aumentar em 4 unidades.,aumentar em 8 unidades.,C,enem-data/enem-2016/136-images/context_img_0.png
2,140,"







","

Qual é a vazão, em litro por hora, da bomba que foi ligada no início da segunda hora?


",1 000,1 250,1 500,2 000,2 500,C,enem-data/enem-2016/140-images/context_img_0.png
3,146,"







","

Suponha que ocorra um desastre quando o petroleiro se encontra com sua carga máxima: ele sofre um acidente que ocasiona um furo no fundo do compartimento C.
Para fins de cálculo, considere desprezíveis as espessuras das placas divisórias.
Após o fim do vazamento, o volume de petróleo derramado terá sido de


","1,4 × 10³  m³","1,8 × 10³  m³","2,0 × 10³  m³","3,2 × 10³  m³","6,0 × 10³  m³",D,enem-data/enem-2016/146-images/context_img_0.png
4,139,"







","

Com base nas informações do gráfico, o floricultor verificou que poderia plantar essa flor rara.
O mês escolhido para o plantio foi


",janeiro,fevereiro,agosto,novembro,dezembro,A,enem-data/enem-2016/139-images/context_img_0.png
5,142,"







","

O proprietário de um veículo precisa trocar os pneus de seu carro e, ao chegar a uma loja, é informado por um vendedor que há somente pneus com os seguintes códigos: 175/65R15, 175/75R15, 175/80R15, 185/60R15 e 205/55R15. Analisando, juntamente com o vendedor, as opções de pneus disponíveis, concluem que o pneu mais adequado para seu veículo é o que tem a menor altura.
Desta forma, o proprietário do veículo deverá comprar o pneu com a marcação


",205/55R15.,175/65R15.,175/75R15.,175/80R15.,185/60R15,E,enem-data/enem-2016/142-images/context_img_0.png
6,148,"








A prefeitura optou pela seguinte distribuição dos funcionários a serem contratados:
I. 10 funcionários para cada região da cidade cujo número de casos seja maior que a média dos casos confirmados.
II. 7 funcionários para cada região da cidade cujo número de casos seja menor ou igual à média dos casos confirmados.
 


","

Quantos funcionários a prefeitura deverá contratar para efetivar a ação?


",59,65,68,71,80,D,enem-data/enem-2016/148-images/context_img_0.png
7,147,"








Suponha que relativamente a cada ramificação, as opções existentes de percurso pelos caminhos apresentem iguais probabilidades de escolha, que a caminhada foi feita escolhendo ao acaso os caminhos existentes e que, ao tomar um caminho que chegue a uma área distinta da IV, o adolescente necessariamente passa por ela ou retorna.


","

Nessas condições, a probabilidade de ele chegar à área IV sem passar por outras áreas e sem
retornar é igual a


",1/96,1/64,5/24,1/4,5/12,C,enem-data/enem-2016/147-images/context_img_0.png
8,150,"







","

Com base no quadro, qual é a moda do número de pessoas no elevador durante a subida do térreo ao quinto andar?


",2,3,4,5,6,D,enem-data/enem-2016/150-images/context_img_0.png
9,151,"







","

O valor mais próximo do percentual que descreve o aumento da população nas capitais da Região Nordeste é


",125%,231%,331%,700%,800%,D,enem-data/enem-2016/151-images/context_img_0.png
10,141,"







","

Após as três “pesagens”, os organizadores do torneio informaram aos atletas quais deles se enfrentariam na primeira luta.
A primeira luta foi entre os atletas


",I e III,I e IV,II e III,II e IV,III e IV,C,enem-data/enem-2016/141-images/context_img_0.png
11,138,"








Uma menina aos 3 anos de idade tinha altura de 85 centímetros e aos 4 anos e 4 meses sua altura chegou a um valor que corresponde a um ponto exatamente sobre a curva p50.
 


","

Qual foi o aumento percentual da altura dessa menina, descrito com uma casa decimal, no período considerado?


","23,5%","21,2%","19,0%","11,8%","10,0%",A,enem-data/enem-2016/138-images/context_img_0.png
12,155,"


Art. 93. A empresa com 100 (cem) ou mais empregados está obrigada a preencher de 2% (dois por cento) a 5% (cinco por cento) dos seus cargos com beneficiários reabilitados ou pessoas com deficiência, habilitadas, na seguinte proporção:
 I. até 200 empregados……………….. 2%;
 II. de 201 a 500 empregados…………… 3%;
 III. de 501 a 1 000 empregados………… 4%;
 IV. de 1 001 em diante………………. 5%.

Disponível em: www.planalto.gov.br. Acesso em: 3 fev. 2015.




Constatou-se que a empresa possui 1 200 funcionários, dos quais 10 são reabilitados ou com deficiência, habilitados.
Para adequar-se à referida lei, a empresa contratará apenas empregados que atendem ao perfil indicado no artigo 93.


","

O número mínimo de empregados reabilitados ou com deficiência, habilitados, que deverá ser contratado pela empresa é


",74,70,64,60,53,E,
13,143,"







","

Nas condições dadas, qual o tempo mínimo, após o sexto mês, para que o reservatório atinja o nível zero de sua capacidade?


",2 meses e meio.,3 meses e meio.,1 mês e meio.,4 meses.,1 mês.,A,enem-data/enem-2016/143-images/context_img_0.png
14,154,"








O Índice de Gini, que mede o grau de concentração de renda de um determinado grupo, pode ser calculado pela razão A/(A + B) em que A e B são as medidas das áreas indicadas no gráfico.
A empresa tem como meta tornar seu Índice de Gini igual ao do país, que é 0,3. Para tanto, precisa ajustar os salários de modo a alterar o percentual que representa a parcela recebida pelos 10% dos funcionários de maior salário em relação ao total da massa salarial.
 





Disponível em: www.ipea.gov.br. Acesso em: 4 maio 2016 (adaptado)



","

Para atingir a meta desejada, o percentual deve ser


",40%,20%,60%,30%,70%,A,enem-data/enem-2016/154-images/context_img_0.png
