,number,context,question,A,B,C,D,E,answer,context-images
0,92,"


Gerente – Boa tarde. Em que eu posso ajudá-lo?
Cliente – Estou interessado em financiamento para compra
de veículo.
Gerente – Nós dispomos de várias modalidades de crédito.
O senhor é nosso cliente?
Cliente – Sou Júlio César Fontoura, também sou
funcionário do banco.
Gerente – Julinho, é você, cara? Aqui é a Helena! Cê tá
em Brasília? Pensei que você inda tivesse na agência de
Uberlândia! Passa aqui pra gente conversar com calma.

BORTONI-RICARDO, S. M. Educação em língua materna.
São Paulo: Parábola, 2004 (adaptado).



","

Na representação escrita da conversa telefônica entre a gerente do banco e o cliente, observa-se que a maneira de falar da gerente foi alterada de repente devido


","à adequação de sua fala à conversa com um amigo, caracterizada pela informalidade",à iniciativa do cliente em se apresentar como funcionário do banco.,ao fato de ambos terem nascido em Uberlândia (Minas Gerais).,à intimidade forçada pelo cliente ao fornecer seu nome completo.,ao seu interesse profissional em financiar o veículo de Júlio.,A,
1,108,"


Texto I
É praticamente impossível imaginarmos nossas vidas sem o plástico. Ele está presente em embalagens de alimentos, bebidas e remédios, além de eletrodomésticos, automóveis etc. Esse uso ocorre devido à sua atoxicidade e à inércia, isto é: quando em contato com outra substâncias, o plástico não as contamina; ao contrário, protege o produto embalado. Outras duas grandes vantagens garantem o uso dos plásticos em larga escala: são leves, quase não alteram o peso do material embalado, e são 100% recicláveis, fato que, infelizmente, não é aproveitado, visto que, em todo o mundo, a percentagem de plástico reciclado, quando comparado ao total produzido, ainda é irrelevante.

Revista Mãe Terra. Minuano, ano I, n. 6 (adaptado).





Texto II
Sacolas plásticas são leves e voam ao vento. Por isso, elas entopem esgotos e bueiros, causando enchentes. São encontradas até no estômago de tartarugas marinhas, baleias, focas e golfinhos, mortos por sufocamento.
Sacolas plásticas descartáveis são gratuitas para os consumidores, mas têm um custo incalculável para o meio ambiente.

Veja, 8 jul. 2009. Fragmentos de texto publicitário do
Instituto Akatu pelo Consumo Consciente.



","

Em contraste com o texto I, no texto II são empregadas, predominantemente, estratégias argumentativas que


",atraem o leitor por meio de previsões para o futuro.,"apelam à emoção do leitor, mencionando a morte de animais.",orientam o leitor a respeito dos modos de usar conscientemente as sacolas plásticas.,intimidam o leitor com as nocivas consequências do uso indiscriminado de sacolas plásticas.,"recorrem à informação, por meio de constatações, para convencer o leitor a evitar o uso de sacolas plásticas. ",E,
2,95,"


No programa do balé Parade, apresentado em 18 de maio de 1917, foi empregada publicamente, pela primeira vez, a palavra sur-realisme. Pablo Picasso desenhou o cenário e a indumentária, cujo efeito foi tão surpreendente que se sobrepôs à coreografia. A música de Erik Satie era uma mistura de jazz, música popular e sons reais tais como tiros de pistola, combinados com as imagens do balé de Charlie Chaplin, caubóis e vilões, mágica chinesa e Ragtime. Os tempos não eram propícios para receber a nova mensagem cênica demasiado provocativa devido ao repicar da máquina de escrever, aos zumbidos de sirene e dínamo e aos rumores de aeroplano previstos por Cocteau para a partitura de Satie. Já a ação coreográfica confirmava a tendência marcadamente teatral da gestualidade cênica, dada pela justaposição, colagem de ações isoladas seguindo um estímulo musical.

SILVA, S. M. O surrealismo e a dança. GUINSBURG, J.; LEIRNER (Org.). O surrealismo. São Paulo: Perspectiva, 2008 (adaptado).



","

As manifestações corporais na história das artes da cena muitas vezes demonstram as condições cotidianas de um determinado grupo social, como se pode observar na descrição acima do balé Parade, o qual reflete


",a falta de diversidade cultural na sua proposta estética.,a alienação dos artistas em relação às tensões da Segunda Guerra Mundial.,"uma disputa cênica entre as linguagens das artes visuais, do figurino e da música.","as inovações tecnológicas nas partes cênicas, musicais, coreográficas e de figurino.",uma narrativa com encadeamentos claramente lógicos e lineares.,D,
3,103,"


Saúde, no modelo atual de qualidade de vida, é o resultado das condições de alimentação, habitação, educação, renda, trabalho, transporte, lazer, serviços médicos e acesso à atividade física regular. Quanto ao acesso à atividade física, um dos elementos essenciais é a aptidão física, entendida como a capacidade de a pessoa utilizar seu corpo — incluindo músculos, esqueleto, coração, enfim, todas as partes —, de forma eficiente em suas atividades cotidianas; logo, quando se avalia a saúde de uma pessoa, a aptidão física deve ser levada em conta.



","

A partir desse contexto, considera-se que uma pessoa tem boa aptidão física quando


",apresenta uma postura regular.,pode se exercitar por períodos curtos de tempo.,"pode desenvolver as atividades físicas do dia-a-dia, independentemente de sua idade.","pode executar suas atividades do dia a dia com vigor, atenção e uma fadiga de moderada a intensa.","pode exercer atividades físicas no final do dia, mas suas reservas de energia são insuficientes para atividades intelectuais.",C,
4,100,"


Gênero dramático é aquele em que o artista usa como intermediária entre si e o público a representação. A palavra vem do grego drao (fazer) e quer dizer ação. A peça teatral é, pois, uma composição literária destinada à apresentação por atores em um palco, atuando e dialogando entre si. O texto dramático é complementado pela atuação dos atores no espetáculo teatral e possui uma estrutura específica, caracterizada: 1) pela presença de personagens que devem estar ligados com lógica uns aos outros e à ação; 2) pela ação dramática (trama, enredo), que é o conjunto de atos dramáticos, maneiras de ser e de agir das personagens encadeadas à unidade do efeito e segundo uma ordem composta de exposição, conflito, complicação, clímax e desfecho; 3) pela situação ou ambiente, que é o conjunto de circunstâncias físicas, sociais, espirituais em que se situa a ação; 4) pelo tema, ou seja, a ideia que o autor (dramaturgo) deseja expor, ou sua interpretação real por meio da representação.

COUTINHO, A. Notas de teoria literária. Rio de Janeiro:
Civilização Brasileira, 1973 (adaptado).



","

Considerando o texto e analisando os elementos que constituem um espetáculo teatral, conclui-se que


","a criação do espetáculo teatral apresenta-se como um fenômeno de ordem individual, pois não é possível sua concepção de forma coletiva. ",o cenário onde se desenrola a ação cênica é concebido e construído pelo cenógrafo de modo autônomo e independente do tema da peça e do trabalho interpretativo dos atores. ,"o texto cênico pode originar-se dos mais variados gêneros textuais, como contos, lendas, romances, poesias, crônicas, notícias, imagens e fragmentos textuais, entre outros. ","o corpo do ator na cena tem pouca importância na comunicação teatral, visto que o mais importante é a expressão verbal, base da comunicação cênica em toda a trajetória do teatro até os dias atuais. ","a iluminação e o som de um espetáculo cênico independem do processo de produção/recepção do espetáculo teatral, já que se trata de linguagens artísticas diferentes, agregadas posteriormente à cena teatral. ",C,
5,107,"


Texto I
É praticamente impossível imaginarmos nossas vidas sem o plástico. Ele está presente em embalagens de alimentos, bebidas e remédios, além de eletrodomésticos, automóveis etc. Esse uso ocorre devido à sua atoxicidade e à inércia, isto é: quando em contato com outra substâncias, o plástico não as contamina; ao contrário, protege o produto embalado. Outras duas grandes vantagens garantem o uso dos plásticos em larga escala: são leves, quase não alteram o peso do material embalado, e são 100% recicláveis, fato que, infelizmente, não é aproveitado, visto que, em todo o mundo, a percentagem de plástico reciclado, quando comparado ao total produzido, ainda é irrelevante.

Revista Mãe Terra. Minuano, ano I, n. 6 (adaptado).





Texto II
Sacolas plásticas são leves e voam ao vento. Por isso, elas entopem esgotos e bueiros, causando enchentes. São encontradas até no estômago de tartarugas marinhas, baleias, focas e golfinhos, mortos por sufocamento.
Sacolas plásticas descartáveis são gratuitas para os consumidores, mas têm um custo incalculável para o meio ambiente.

Veja, 8 jul. 2009. Fragmentos de texto publicitário do
Instituto Akatu pelo Consumo Consciente.



","

Na comparação dos textos, observa-se que


",o texto I apresenta um alerta a respeito do efeito da reciclagem de materiais plásticos; o texto II justifica o uso desse material reciclado. ,o texto I tem como objetivo precípuo apresentar a versatilidade e as vantagens do uso do plástico na contemporaneidade; o texto II objetiva alertar os consumidores sobre os problemas ambientais decorrentes de embalagens plásticas não recicladas. ,"o texto I expõe vantagens, sem qualquer ressalva, do uso do plástico; o texto II busca convencer o leitor a evitar o uso de embalagens plásticas. ","o texto I ilustra o posicionamento de fabricantes de embalagens plásticas, mostrando por que elas devem ser usadas; o texto II ilustra o posicionamento de consumidores comuns, que buscam praticidade e conforto. ","o texto I apresenta um alerta a respeito da possibilidade de contaminação de produtos orgânicos e industrializados decorrente do uso de plástico em suas embalagens; o texto II apresenta vantagens do consumo de sacolas plásticas: leves, descartáveis e gratuitas. ",B,
6,99,"


Cárcere das almas
Ah! Toda a alma num cárcere anda presa,
Soluçando nas trevas, entre as grades
Do calabouço olhando imensidades,
Mares, estrelas, tardes, natureza.
Tudo se veste de uma igual grandeza
Quando a alma entre grilhões as liberdades
Sonha e, sonhando, as imortalidades
Rasga no etéreo o Espaço da Pureza.
Ó almas presas, mudas e fechadas
Nas prisões colossais e abandonadas,
Da Dor no calabouço, atroz, funéreo!
Nesses silêncios solitários, graves,
que chaveiro do Céu possui as chaves
para abrir-vos as portas do Mistério?!

CRUZ E SOUSA, J. Poesia completa. Florianópolis: Fundação Catarinense de Cultura /
Fundação Banco do Brasil, 1993.



","

Os elementos formais e temáticos relacionados ao contexto cultural do Simbolismo encontrados no poema Cárcere das almas, de Cruz e Sousa, são


","a opção pela abordagem, em linguagem simples e direta, de temas filosóficos. ",a prevalência do lirismo amoroso e intimista em relação à temática nacionalista. ,o refinamento estético da forma poética e o tratamento metafísico de temas universais. ,a evidente preocupação do eu lírico com a realidade social expressa em imagens poéticas inovadoras. ,a liberdade formal da estrutura poética que dispensa a rima e a métrica tradicionais em favor de temas do cotidiano. ,C,
7,105,"


A partir da metade do século XX, ocorreu um conjunto de transformações econômicas e sociais cuja dimensão é difícil de ser mensurada: a chamada explosão da informação. Embora essa expressão tenha surgido no contexto da informação científica e tecnológica, seu significado, hoje, em um contexto mais geral, atinge proporções gigantescas.
Por estabelecerem novas formas de pensamento e mesmo de lógica, a informática e a Internet vêm gerando impactos sociais e culturais importantes. A disseminação do microcomputador e a expansão da Internet vêm acelerando o processo de globalização tanto no sentido do mercado quanto no sentido das trocas simbólicas possíveis entre sociedades e culturas diferentes, o que tem provocado e acelerado o fenômeno de hibridização amplamente caracterizado como próprio da pós-modernidade.

FERNANDES, M. F.; PARÁ, T. A contribuição das novas tecnologias da informação na geração de conhecimento. Disponível em: http://www.coep.ufrj.br.
Acesso em: 11 ago. 2009 (adaptado).



","

Considerando-se o novo contexto social e econômico aludido no texto apresentado, as novas tecnologias de informação e comunicação


","desempenham importante papel, porque sem elas não seria possível registrar os acontecimentos históricos.","facilitam os processos educacionais para ensino de tecnologia, mas não exercem influência nas ciências humanas.","limitam-se a dar suporte aos meios de comunicação, facilitando sobretudo os trabalhos jornalísticos. ","contribuem para o desenvolvimento social, pois permitem o registro e a disseminação do conhecimento de forma mais democrática e interativa. ","estão em estágio experimental, particularmente na educação, área em que ainda não demonstraram potencial produtivo. ",D,
8,97,"







","

O texto tem o objetivo de solucionar um problema social,


",descrevendo a situação do país em relação à gripe suína.,alertando a população para o risco de morte pela Influenza A.,informando a população sobre a iminência de uma pandemia de Influenza A.,orientando a população sobre os sintomas da gripe suína e procedimentos para evitar a contaminação.,convocando toda a população para se submeter a exames de detecção da gripe suína.,D,enem-data/enem-2009/97-images/context_img_0.png
9,112,"


Cuitelinho
Cheguei na bera do porto
Onde as onda se espaia.
As garça dá meia volta,
Senta na bera da praia.
E o cuitelinho não gosta
Que o botão da rosa caia.
Quando eu vim da minha terra,
Despedi da parentaia.
Eu entrei em Mato Grosso,
Dei em terras paraguaia.
Lá tinha revolução,
Enfrentei fortes bataia.
A tua saudade corta
Como o aço de navaia.
O coração fica aflito,
Bate uma e outra faia.
E os oio se enche d´água
Que até a vista se atrapaia.

Folclore recolhido por Paulo Vanzolini e Antônio Xandó.
BORTONI-RICARDO, S. M. Educação em língua materna. São Paulo: Parábola, 2004.



","

Transmitida por gerações, a canção Cuitelinho manifesta aspectos culturais de um povo, nos quais se inclui sua forma de falar, além de registrar um momento histórico. Depreende-se disso que a importância em preservar a produção cultural de uma nação consiste no fato de que produções como a canção Cuitelinho evidenciam a


",recriação da realidade brasileira de forma ficcional.,criação neológica na língua portuguesa.,formação da identidade nacional por meio da tradição oral.,incorreção da língua portuguesa que é falada por pessoas do interior do Brasil.,"padronização de palavras que variam regionalmente, mas possuem mesmo significado.",C,
