,number,context,question,A,B,C,D,E,answer,context-images
0,138,"


Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol.
Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias.



","

No planeta Z, seu ano corresponderia a quantos de seus dias?


","2,5 ","10,0 ","730,0 ","13 322,5","53 290,0",A,
1,137,"


Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mL de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos.



","

A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é


","0,125.","0,200.","4,800.","6,000.","12,000.",B,
2,149,"


Em janeiro de 2013, foram declaradas 1 794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja,
foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75%, quando comparado com o mesmo período de 2012.

Disponível em: http://portal.mte.gov.br. Acesso em: 23 fev. 2013 (adaptado).



","

De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi


",16 514.,86 700.,115 600.,441 343.,448 568.,C,
3,142,"


Uma loja comercializa cinco modelos de caixas-d’água (I, II, III, IV e V), todos em formato de cilindro reto de base circular. Os modelos II, III, IV e V têm as especificações de suas dimensões dadas em relação às dimensões do modelo I, cuja profundidade é P e área da base é Ab, como segue:
• modelo II: o dobro da profundidade e a metade da
área da base do modelo I;
• modelo III: o dobro da profundidade e a metade do
raio da base do modelo I;
• modelo IV: a metade da profundidade e o dobro da
área da base do modelo I;
• modelo V: a metade da profundidade e o dobro do
raio da base do modelo I.
Uma pessoa pretende comprar nessa loja o modelo
de caixa-d’água que ofereça a maior capacidade
volumétrica



","

O modelo escolhido deve ser o


",I.,II.,III.,IV.,V.,E,
4,144,"


Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, R$ 1,35 bilhão em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus
algarismos.



","

O número escrito pelo estudante foi


","135 000,00. ","1 350 000,00. ","13 500 000,00. "," 135 000 000,00. ","1 350 000 000,00",E,
5,147,"


Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 cm de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 cm de diâmetro.
A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda



","

Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?


",2,3,6,12,24,E,
6,146,"


Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social.
Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro.










","

Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário


",I. ,II. , III.,IV. , V.,A,enem-data/enem-2022/146-images/context_img_0.png
7,139,"


Em uma competição de velocidade, diz-se que há uma ultrapassagem quando um veículo que está atrás de outro passa à sua frente, com ambos se deslocando no mesmo sentido. Considere uma competição automobilística entre cinco carros em uma pista com 100 m de comprimento, onde todos largam no mesmo instante e da mesma linha.
O gráfico mostra a variação da distância percorrida por cada
veículo, em função do tempo, durante toda a competição.










","

Qual o número de ultrapassagens, após o início da competição, efetuadas pelo veículo que chegou em
último lugar?


",1,2,3,4,,A,enem-data/enem-2022/139-images/context_img_0.png
8,141,"


Uma pessoa precisa se deslocar de automóvel do ponto P para o ponto Q, indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas












Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar
“vire à esquerda”, “siga em frente” e “vire à direita”, respectivamente.



","

A sequência de letras que descreve o caminho poligonal destacado é


",DDEFDDEEFFD.,DFEFDDDEFFD.,DFEFDDEEFFD.,EFDFEEDDFFE.,EFDFEEEDFFE.,C,enem-data/enem-2022/141-images/context_img_0.png
9,140,"


Em uma loja, o preço promocional de uma geladeira é de R$ 1 000,00 para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10% maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2% sobre o preço normal.
Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8%. Ao ser informada pela loja do valor a
pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado



","

O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi


","R$ 2,00 menor. ","R$ 100,00 menor.","R$ 200,00 menor. ","R$ 42,00 maior. ","R$ 80,00 maior.",A,
