,number,context,question,A,B,C,D,E,answer,context-images
0,1,"


Na produção social que os homens realizam, eles entram em determinadas relações indispensáveis e independentes de sua vontade; tais relações de produção correspondem a um estágio definido de desenvolvimento das suas forças materiais de produção. A totalidade dessas relações constitui a estrutura econômica da sociedade — fundamento real, sobre o qual se erguem as superestruturas política e jurídica, e ao qual correspondem determinadas formas de consciência social.

MARX, K. Prefácio à Crítica da economia política. In: MARX, K.; ENGELS, F. Textos 3. São Paulo: Edições Sociais, 1977 (adaptado).



","

Para o autor, a relação entre economia e política estabelecida no sistema capitalista faz com que


",o proletariado seja contemplado pelo processo de mais-valia.,o trabalho se constitua como o fundamento real da produção material., a consolidação das forças produtivas seja compatível com o progresso humano.,a autonomia da sociedade civil seja proporcional ao desenvolvimento econômico.,a burguesia revolucione o processo social de formação da consciência de classe.,B,
1,11,"


Empresa vai fornecer 230 turbinas para o segundo complexo de energia à base de ventos, no sudeste da Bahia. O Complexo Eólico Alto Sertão, em 2014, terá capacidade para gerar 375 MW (megawatts), total suficiente para abastecer uma cidade de 3 milhões de habitantes.

MATOS, C. GE busca bons ventos e fecha contrato de R$ 820 mi na Bahia. Folha de S. Paulo, 2 dez. 2012.



","

A opção tecnológica retratada na notícia proporciona a seguinte consequência para o sistema energético brasileiro:


",Redução da utilização elétrica.,Ampliação do uso bioenergético.,Expansão das fontes renováveis.,Contenção da demanda urbano-industrial.,Intensificação da dependência geotérmica.,C,
2,6,"


Ninguém desconhece a necessidade que todos os fazendeiros têm de aumentar o número de seus trabalhadores. E como até há pouco supriam-se os fazendeiros dos braços necessários? As fazendas eram alimentadas pela aquisição de escravos, sem o menor auxílio pecuniário do governo. Ora, se os fazendeiros se supriam de braços à sua custa, e se é possível obtê-los ainda, posto que de outra qualidade, por que motivo não hão de procurar alcançá-los pela mesma maneira, isto é, à sua custa?

Resposta de Manuel Felizardo de Souza e Mello, diretor geral das Terras Públicas,ao Senador Vergueiro. In: ALENCASTRO, L.F. (Org.) História da vida privada no Brasil. São Paulo:Cia das Letras, 1998 (adaptado).



","



O fragmento do discurso dirigido ao parlamentar do Império refere-se às mudanças então em curso no campo brasileiro, que confrontaram o Estado e a elite agrária em torno do objetivo de




",fomentar ações públicas para ocupação das terras do interior.,adotar o regime assalariado para proteção da mão de obra estrangeira.,definir uma política de subsídio governamental para o fomento da imigração.,regulamentar o tráfico interprovincial de cativos para sobrevivência das fazendas.,financiar a fixação de famílias camponesas para estímulo da agricultura de subsistência.,C,
3,9,"


Trata-se de um gigantesco movimento de construção de cidades, necessário para o assentamento residencial dessa população, bem como de suas necessidades de trabalho, abastecimento, transportes, saúde, energia, água etc. Ainda que o rumo tomado pelo crescimento urbano não tenha respondido satisfatoriamente a todas essas necessidades, o território foi ocupado e foram construídas as condições para viver nesse espaço.

MARICATO, E. Brasil, cidades: alternativas para a crise urbana. Petrópolis: Vozes, 2001.



","

A dinâmica de transformação das cidades tende a apresentar como consequência a expansão das áreas periféricas pelo(a)


",crescimento da população urbana e aumento da especulação imobiliária.,"direcionamento maior do fluxo de pessoas, devido à existência de um grande número de serviços.","delimitação de áreas para uma ocupação organizada do espaço físico, melhorando a qualidade de vida.",implantação de políticas públicas que promovem a moradia e o direito à cidade aos seus moradores.,"reurbanização de moradias nas áreas centrais, mantendo o trabalhador próximo ao seu emprego, diminuindo os deslocamentos para a periferia.",A,
4,12,"


A escravidão não há de ser suprimida no Brasil por uma guerra servil, muito menos por insurreições ou atentados locais. Não deve sê-lo, tampouco, por uma guerra civil, como o foi nos Estados Unidos. Ela poderia desaparecer, talvez, depois de uma revolução, como aconteceu na França, sendo essa revolução obra exclusiva da população livre. É no Parlamento e não em fazendas ou quilombos do interior, nem nas ruas e praças das cidades, que se há de ganhar, ou perder, a causa da liberdade.

NABUCO, J. O abolicionismo (1883). Rio de Janeiro: Nova Fronteira;
São Paulo: Publifolha, 2000 (adaptado).



","



No texto, Joaquim Nabuco defende um projeto político sobre como deveria ocorrer o fim da escravidão no Brasil, no qual




",copiava o modelo haitiano de emancipação negra.,incentivava a conquista de alforrias por meio de ações judiciais..,optava pela via legalista de libertação.,priorizava a negociação em torno das indenizações aos senhores.,antecipava a libertação paternalista dos cativos.,C,
5,2,"


Um trabalhador em tempo flexível controla o local do trabalho, mas não adquire maior controle sobre o processo em si. A essa altura, vários estudos sugerem que a supervisão do trabalho é muitas vezes maior para os ausentes do escritório do que para os presentes. O trabalho é fisicamente descentralizado e o poder sobre o trabalhador, mais direto.

SENNETT, R. A corrosão do caráter: consequências pessoais do novo capitalismo. Rio de Janeiro: Record, 1999 (adaptado).



","

Comparada à organização do trabalho característica do taylorismo e do fordismo, a concepção de tempo analisada no texto pressupõe que


",as tecnologias de informação sejam usadas para democratizar as relações laborais.,as estruturas burocráticas sejam transferidas da empresa para o espaço doméstico.,os procedimentos de terceirização sejam aprimorados pela qualificação profissional.,as organizações sindicais sejam fortalecidas com a valorização da especialização funcional.,os mecanismos de controle sejam deslocados dos processos para os resultados do trabalho.,E,
6,14,"


Nos estados, entretanto, se instalavam as oligarquias, de cujo perigo já nos advertia Saint-Hilaire, e sob o disfarce do que se chamou “a política dos governadores”. Em círculos concêntricos esse sistema vem cumular no próprio poder central que é o sol do nosso sistema.

PRADO, P. Retrato do Brasil. Rio de Janeiro: José Olympio, 1972.



","

A crítica presente no texto remete ao acordo que fundamentou o regime republicano brasileiro durante as três primeiras décadas do século XX e fortaleceu o(a)


","poder militar, enquanto fiador da ordem econômica.","presidencialismo, como o objetivo de limitar o poder dos coronéis.",domínio de grupos regionais sobre a ordem federativa.,"intervenção nos estados, autorizada pelas normas constitucionais.",isonomia do governo federal no tratamento das disputas locais.,C,
7,5,"


Tendo encarado a besta do passado olho no olho, tendo pedido e recebido perdão e tendo feito correções, viremos agora a página – não para esquecê-lo, mas para não deixá-lo aprisionar-nos para sempre. Avancemos em direção a um futuro glorioso de uma nova sociedade sul-africana, em que as pessoas valham não em razão de irrelevâncias biológicas ou de outros estranhos atributos, mas porque são pessoas de valor infinito criadas à imagem de Deus.



Desmond Tutu, no encerramento da Comissão da Verdade na África do Sul. Disponível em: http://td.camara.leg.br. Acesso em 17 dez. 2012 (adaptado).






","



No texto, relaciona-se a consolidação da democracia na África do Sul à superação de um legado




","populista, que favorecia a cooptação de dissidentes políticos.","totalitarista, que bloqueava o diálogo com os movimentos sociais.","segregacionista, que impedia a universalização da cidadania.","estagnacionista, que disseminava a pauperização social.","fundamentalista, que engendrava conflitos religiosos.",C,
8,13,"


Tenho 44 anos e presenciei uma transformação impressionante na condição de homens e mulheres gays nos Estados Unidos. Quando nasci, relações homossexuais eram ilegais em todos os Estados Unidos, menos Illinois. Gays e lésbicas não podiam trabalhar no governo federal. Não havia nenhum político abertamente gay. Alguns homossexuais não assumidos ocupavam posições de poder, mas a tendência era eles tormarem as coisas ainda piores para seus semelhantes.



ROSS, A. Na máquina do tempo. Época, ed. 766, 28 jan. 2013.






","

A dimensão política da transformação sugerida no texto teve como condição necessária a


",ampliação da noção de cidadania.,reformulação de concepções religiosas.,manutenção de ideologias conservadoras.,implantação de cotas nas listas partidárias.,alteração da composição étnica da população.,A,
9,4,"


A África também já serviu como ponto de partida para comédias bem vulgares, mas de muito sucesso, como Um príncipe em Nova York e Ace Ventura: um maluco na África; em ambas, a África parece um lugar cheio de tribos doidas e rituais de desenho animado. A animação O rei Leão, da Disney, o mais bem-sucedido filme americano ambientado na África, não chegava a contar com elenco de seres humanos.



LEIBOWITZ, E. Filmes de Hollywood sobre África ficam no clichê. Disponível em: http://noticias.uol.com.br. Acesso em 17 abr, 2010.






","



A produção cinematográfica referida no texto contribui para a constituição de uma memória sobre a África e seus habitantes. Essa memória enfatiza e negligencia, respectivamente, os seguintes aspectos do continente africano:




",A história e a natureza.,O exotismo e as culturas.,A sociedade e a economia.,O comércio e o ambiente.,A diversidade e a política.,B,
