,number,context,question,A,B,C,D,E,answer,context-images
0,153,"


Um dos grandes problemas enfrentados nas rodovias brasileiras é o excesso de carga transportada pelos caminhões. Dimensionado para o tráfego dentro dos limites legais de carga, o piso das estradas se deteriora com o peso excessivo dos caminhões. Além disso, o excesso de carga interfere na capacidade de frenagem
e no funcionamento da suspensão do veículo, causas frequentes de acidentes.
Ciente dessa responsabilidade e com base na experiência adquirida com pesagens, um caminhoneiro sabe que seu caminhão pode carregar, no máximo, 1 500 telhas ou 1 200 tijolos.



","

Considerando esse caminhão carregado com 900 telhas, quantos tijolos, no máximo, podem ser acrescentados à carga de modo a não ultrapassar a carga máxima do caminhão?


",300 tijolos,360 tijolos,400 tijolos,480 tijolos,600 tijolos,D,
1,144,"


Uma fábrica de fórmicas produz placas quadradas de lados de medida igual a y  centímetros. Essas placas são vendidas em caixas com N unidades e, na caixa, é
especificada a área máxima S que pode ser coberta pelas N placas.
Devido a uma demanda do mercado por placas maiores, a fábrica triplicou a medida dos lados de suas placas e conseguiu reuni-las em uma nova caixa, de tal forma que a área coberta S não fosse alterada.



","

A quantidade X, de placas do novo modelo, em cada nova caixa será igual a:


",N/9,N/6,N/3,3N,9N,A,
2,151,"


Para aumentar as vendas no início do ano, uma loja de departamentos remarcou os preços de seus produtos 20% abaixo do preço original. Quando chegam ao caixa, os clientes que possuem o cartão fidelidade da loja têm direito a um desconto adicional de 10% sobre o valor total de suas compras.
Um cliente deseja comprar um produto que custava R$ 50,00 antes da remarcação de preços. Ele não possui o cartão fidelidade da loja.



","

Caso esse cliente possuísse o cartão fidelidade da loja, a economia adicional que obteria ao efetuar a compra, em reais, seria de


","15,00","14,00","10,00","5,00","4,00",E,
3,139,"







","

Analisando os dados percentuais do gráfico, qual a diferença entre o maior e o menor centro em crescimento no polo das indústrias?


","75,28","64,09","56,95","45,76","30,07",C,enem-data/enem-2013/139-images/context_img_0.png
4,146,"


O contribuinte que vende mais de R$ 20 mil de ações em Bolsa de Valores em um mês deverá pagar Imposto de Renda. O pagamento para a Receita Federal consistirá em 15% do lucro obtido com a venda das ações.

Disponível em: www1.folha.uol.com.br. Acesso em: 26 abr. 2010 (adaptado).



","

Um contribuinte que vende por R$ 34 mil um lote de ações que custou R$ 26 mil terá de pagar de Imposto de Renda à Receita Federal o valor de:


","R$ 900,00.","R$ 1 200,00.","R$ 2 100,00.","R$ 3 900,00.","R$ 5 100,00.",B,
5,147,"


Para se construir um contrapiso, é comum, na constituição do concreto, se utilizar cimento, areia e brita, na seguinte proporção: 1 parte de cimento, 4 partes de
areia e 2 partes de brita. Para construir o contrapiso de uma garagem, uma construtora encomendou um caminhão betoneira com 14 m³ de concreto.



","

Qual é o volume de cimento, em m³, na carga de concreto trazido pela betoneira?


","1,75","2,00","2,33","4,00","8,00",B,
6,140,"







","

A razão que representa a quantidade de cadeiras reservadas do setor 3 em relação ao total de cadeiras desse mesmo setor é


",17/10,17/53,53/70,53/17,70/17,A,enem-data/enem-2013/140-images/context_img_0.png
7,145,"








Considere 3 como valor aproximado para π


","

Para satisfazer as condições dadas, o raio máximo da ilha de lazer r, em metros, estará mais próximo de


","1,6","1,7","2,0","3,0","3,8",A,enem-data/enem-2013/145-images/context_img_0.png
8,141,"







","

A loja sorteará um brinde entre os compradores do produto A e outro brinde entre os compradores do produto B.
Qual a probabilidade de que os dois sorteados tenham feito suas compras em fevereiro de 2012?


",1/20,3/242,5/22,6/25,7/15,A,enem-data/enem-2013/141-images/context_img_0.png
9,152,"







","

A quantidade mínima de rolos que deve ser comprada para cercar esse terreno é


",6,7,8,11,12,C,enem-data/enem-2013/152-images/context_img_0.png
10,150,"







","

O valor mediano da diária, em reais, para o quarto padrão de casal nessa cidade, é


","300,00.","345,00.","350,00.","375,00.","400,00.",C,enem-data/enem-2013/150-images/context_img_0.png
11,148,"







","

O empresário decidiu comprar a empresa


",F,G,H,M,P,B,enem-data/enem-2013/148-images/context_img_0.png
