,number,context,question,A,B,C,D,E,answer,context-images
0,100,"


Partículas microscópicas existentes na atmosfera funcionam como núcleos de condensação de vapor de água que, sob condições adequadas de temperatura e pressão, propiciam a formação das nuvens e consequentemente das chuvas. No ar atmosférico, tais partículas são formadas pela reação de ácidos (H X
com a base NH3, de forma natural ou antropogênica, dando origem a sais de amônio (NH4X , de acordo com a
equação química genérica:
HX (g) + NH3 (g) –> NH4X (s)

FELIX, E. P.; CARDOSO, A. A. Fatores ambientais que afetam a precipitação úmida.
Química Nova na Escola, n. 21, maio 2005 (adaptado).



","

A fixação de moléculas de vapor de água pelos núcleos de condensação ocorre por


",ligações iônicas.,interações dipolo-dipolo.,interações dipolo-dipolo induzido.,interações íon-dipolo.,ligações covalentes.,D,
1,91,"


Um fato corriqueiro ao se cozinhar arroz é o derramamento de parte da água de cozimento sobre a chama azul do fogo, mudando-a para uma chama amarela. Essa mudança de cor pode suscitar interpretações diversas, relacionadas às substâncias presentes na água de cozimento. Além do sal de cozinha (NaCl), nela se encontram carboidratos, proteínas e sais minerais.



","

Cientificamente, sabe-se que essa mudança de cor da chama ocorre pela


","reação do gás de cozinha com o sal, volatilizando gás cloro.","emissão de fótons pelo sódio, excitado por causa da chama.","produção de derivado amarelo, pela reação com o carboidrato.","reação do gás de cozinha com a água, formando gás hidrogênio.","excitação das moléculas de proteínas, com formação de luz amarela.",B,
2,102,"


A técnica do carbono-14 permite a datação de fósseis pela medição dos valores de emissão beta desse isótopo presente no fóssil. Para um ser em vida, o máximo são 15 emissões beta/(min g). Após a morte, a quantidade de 14C se reduz pela metade a cada 5 730 anos.

A prova do carbono 14. Disponível em: http://noticias.terra.com.br. Acesso em: 9 nov. 2013 (adaptado).



","

Considere que um fragmento fóssil de massa igual a 30 g foi encontrado em um sítio arqueológico, e a medição de radiação apresentou 6 750 emissões beta por hora. A idade desse fóssil, em anos, é


",450.,1 433.,11 460.,17 190.,27 000.,C,
3,94,"


Pesquisadores criaram um tipo de plaqueta artificial, feita com um polímero gelatinoso coberto de anticorpos, que promete agilizar o processo de coagulação quando injetada no corpo. Se houver sangramento, esses anticorpos fazem com que a plaqueta mude sua forma e se transforme em uma espécie de rede que gruda nas lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br.
Acesso em: 19 fev. 2013 (adaptado).



","

Qual a doença cujos pacientes teriam melhora de seu estado de saúde com o uso desse material?


",Filariose.,Hemofilia.,Aterosclerose.,Doença de Chagas.,Síndrome da imunodeficiência adquirida.,B,
4,105,"


Uma grande virada na moderna história da agricultura ocorreu depois da Segunda Guerra Mundial. Após a guerra, os governos haviam se deparado com um enorme excedente de nitrato de amônio, ingrediente usado na fabricação de explosivos. A partir daí as fábricas de munição foram adaptadas para começar a produzir fertilizantes tendo como componente principal os nitratos.


SOUZA, F. A. Agricultura natural/orgânica como instrumento de fixação biológica e manutenção do nitrogênio no solo: um modelo sustentável de MDL.
Disponível em: www.planetaorganico.com.br. Acesso em: 17 jul. 2015 (adaptado).



","

No ciclo natural do nitrogênio, o equivalente ao principal componente desses fertilizantes industriais é produzido na etapa de


",nitratação.,nitrosação.,amonificação.,desnitrificação.,fixação biológica do N2.,A,
5,97,"


As centrífugas são equipamentos utilizados em laboratórios, clínicas e indústrias. Seu funcionamento faz uso da aceleração centrífuga obtida pela rotação de um recipiente e que serve para a separação de sólidos em suspensão em líquidos ou de líquidos misturados entre si.

RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).



","

Nesse aparelho, a separação das substâncias ocorre em função


",das diferentes densidades.,dos diferentes raios de rotação.,das diferentes velocidades angulares.,das diferentes quantidades de cada substância.,da diferente coesão molecular de cada substância.,A,
6,95,"


A farinha de linhaça dourada é um produto natural que oferece grandes benefícios para o nosso organismo. A maior parte dos nutrientes da linhaça encontra-se no óleo desta semente, rico em substâncias lipossolúveis com massas moleculares elevadas. A farinha também apresenta altos teores de fibras proteicas insolúveis em água, celulose, vitaminas lipossolúveis e sais minerais hidrossolúveis.
Considere o esquema, que resume um processo de separação dos componentes principais da farinha de linhaça dourada.










","

O óleo de linhaça será obtido na fração


",Destilado 1.,Destilado 2.,Resíduo 2.,Resíduo 3.,Resíduo 4.,E,enem-data/enem-2017/95-images/context_img_0.png
7,101,"


Em uma linha de transmissão de informações por fibra óptica, quando um sinal diminui sua intensidade para valores inferiores a 10 dB, este precisa ser retransmitido. No entanto, intensidades superiores a 100 dB não podem ser transmitidas adequadamente. A figura apresenta como se dá a perda de sinal (perda óptica) para diferentes comprimentos de onda para certo tipo de fibra óptica.










","

Qual é a máxima distância, em km, que um sinal pode ser enviado nessa fibra sem ser necessária uma retransmissão?


",6,18,60,90,100,D,enem-data/enem-2017/101-images/context_img_0.png
8,107,"


Os medicamentos são rotineiramente utilizados pelo ser humano com o intuito de diminuir ou, por muitas vezes, curar possíveis transtornos de saúde. Os antibióticos são grupos de fármacos inseridos no tratamento de doenças causadas por bactérias.



","

Na terapêutica das doenças mencionadas, alguns desses fármacos atuam


",ativando o sistema imunológico do hospedeiro.,interferindo na cascata bioquímica da inflamação.,removendo as toxinas sintetizadas pelas bactérias,combatendo as células hospedeiras das bactérias.,danificando estruturas específicas da célula bacteriana.,E,
9,98,"


Visando explicar uma das propriedades da membrana plasmática, fusionou-se uma célula de camundongo com uma célula humana, formando uma célula híbrida. Em seguida, com o intuito de marcar as proteínas de membrana, dois anticorpos foram inseridos no experimento, um específico para as proteínas de membrana do camundongo e outro para as proteínas de membrana humana. Os anticorpos foram visualizados ao microscópio por meio de fluorescência de cores diferentes.










","

A mudança observada da etapa 3 para a etapa 4 do experimento ocorre porque as proteínas


",movimentam-se livremente no plano da bicamada lipídica.,permanecem confinadas em determinadas regiões da bicamada.,auxiliam o deslocamento dos fosfolipídios da membrana plasmática.,são mobilizadas em razão da inserção de anticorpos,são bloqueadas pelos anticorpos.,A,enem-data/enem-2017/98-images/context_img_0.png
10,103,"


A figura mostra o funcionamento de uma estação híbrida de geração de eletricidade movida a energia eólica e biogás. Essa estação possibilita que a energia gerada no parque eólico seja armazenada na forma de gás hidrogênio, usado no fornecimento de energia para a rede elétrica comum e para abastecer células a combustível.










","

Mesmo com ausência de ventos por curtos períodos, essa estação continua abastecendo a cidade onde está
instalada, pois o(a)


",planta mista de geração de energia realiza eletrólise para enviar energia à rede de distribuição elétrica.,hidrogênio produzido e armazenado é utilizado na combustão com o biogás para gerar calor e eletricidade.,"conjunto de turbinas continua girando com a mesma velocidade, por inércia, mantendo a eficiência anterior.",combustão da mistura biogás-hidrogênio gera diretamente energia elétrica adicional para a manutenção da estação.,planta mista de geração de energia é capaz de utilizar todo o calor fornecido na combustão para a geração de eletricidade.,B,enem-data/enem-2017/103-images/context_img_0.png
11,92,"


A classificação biológica proposta por Whittaker permite distinguir cinco grandes linhas evolutivas utilizando, como critérios de classificação, a organização celular e o modo de nutrição. Woese e seus colaboradores, com base na comparação das sequências que codificam o RNA ribossômico dos seres vivos, estabeleceram relações de ancestralidade entre os grupos e concluíram que os procariontes do reino Monera não eram um grupo coeso do ponto de vista evolutivo.
 










","

A diferença básica nas classificações citadas é que a mais recente se baseia fundamentalmente em


",tipos de células.,aspectos ecológicos.,relações filogenéticas.,propriedades fisiológicas.,características morfológicas.,C,enem-data/enem-2017/92-images/context_img_0.png
12,93,"

Em uma colisão frontal entre dois automóveis, a força que o cinto de segurança exerce sobre o tórax e abdômen do motorista pode causar lesões graves nos órgãos internos. Pensando na segurança do seu produto, um fabricante de automóveis realizou testes em cinco modelos diferentes de cinto. Os testes simularam uma colisão de 0,30 segundo de duração, e os bonecos que representavam os ocupantes foram equipados com acelerômetros. Esse equipamento registra o módulo da desaceleração do boneco em função do tempo. Os parâmetros como massa dos bonecos, dimensões dos cintos e velocidade imediatamente antes e após o impacto foram os mesmos para todos os testes. O resultado final obtido está no gráfico de aceleração por tempo.









","

Qual modelo de cinto oferece menor risco de lesão interna ao motorista?


",1,2,3,4,5,B,enem-data/enem-2017/93-images/context_img_0.png
13,104,"


A eletrólise é um processo não espontâneo de grande importância para a indústria química. Uma de suas aplicações é a obtenção do gás cloro e do hidróxido de sódio, a partir de uma solução aquosa de cloreto de sódio. Nesse procedimento, utiliza-se uma célula eletroquímica, como ilustrado.
 










","

No processo eletrolítico ilustrado, o produto secundário obtido é o


",vapor de água.,oxigênio molecular.,hipoclorito de sódio.,hidrogênio molecular.,cloreto de hidrogênio.,D,enem-data/enem-2017/104-images/context_img_0.png
14,106,"


A toxicidade de algumas substâncias é normalmente representada por um índice conhecido como DL50 (dose letal mediana). Ele representa a dosagem aplicada a uma população de seres vivos que mata 50% desses indivíduos e é normalmente medido utilizando-se ratos como cobaias. Esse índice é muito importante para os seres humanos, pois ao se extrapolar os dados obtidos com o uso de cobaias, pode-se determinar o nível tolerável de contaminação de alimentos, para que possam ser consumidos de forma segura pelas pessoas. O quadro apresenta três pesticidas e suas toxicidades. A unidade mg/kg indica a massa da substância ingerida pela massa da cobaia.












Sessenta ratos, com massa de 200 g cada, foram divididos em três grupos de vinte. Três amostras de ração, contaminadas, cada uma delas com um dos pesticidas indicados no quadro, na concentração de 3 mg por grama de ração, foram administradas para cada grupo de cobaias. Cada rato consumiu 100g de ração.



","

Qual(ais) grupo(s) terá(ão) uma mortalidade mínima de 10 ratos?


",O grupo que se contaminou somente com atrazina.,O grupo que se contaminou somente com diazinon.,Os grupos que se contaminaram com atrazina e malation.,Os grupos que se contaminaram com diazinon e malation.,"Nenhum dos grupos contaminados com atrazina, diazinon e malation.",D,enem-data/enem-2017/106-images/context_img_0.png
15,96,"


O biodiesel é um biocombustível obtido a partir de fontes renováveis, que surgiu como alternativa ao uso do diesel de petróleo para motores de combustão interna. Ele pode ser obtido pela reação entre triglicerídeos, presentes em óleos vegetais e gorduras animais, entre outros, e álcoois de baixa massa molar, como o metanol ou etanol, na presença de um catalisador, de acordo com a equação química:










","

A função química presente no produto que representa o biodiesel é


",éter.,éster.,álcool.,cetona.,ácido carboxílico,B,enem-data/enem-2017/96-images/context_img_0.png
16,99,"


A figura mostra como é a emissão de radiação eletromagnética para cinco tipos de lâmpada: haleto metálico, tungstênio, mercúrio, xênon e LED (diodo emissor de luz). As áreas marcadas em cinza são proporcionais à intensidade da energia liberada pela lâmpada. As linhas pontilhadas mostram a sensibilidade do olho humano aos diferentes comprimentos de onda. UV e IV são as regiões do ultravioleta e do infravermelho, respectivamente.
Um arquiteto deseja iluminar uma sala usando uma lâmpada que produza boa iluminação, mas que não aqueça o ambiente.










","

 
Qual tipo de lâmpada melhor atende ao desejo do arquiteto?


",Haleto metálico.,Tungstênio.,Mercúrio.,Xênon.,LED,E,enem-data/enem-2017/99-images/context_img_0.png
17,110,"


O fenômeno da piracema (subida do rio) é um importante mecanismo que influencia a reprodução de algumas espécies de peixes, pois induz o processo que estimula a queima de gordura e ativa mecanismos hormonais complexos, preparando-os para a reprodução. Intervenções antrópicas nos ambientes aquáticos, como a construção de barragens, interferem na reprodução desses animais.

MALTA, P Impacto ambiental das barragens hidrelétricas. Disponível em: http://futurambiental.com. Acesso em: 10 maio 2013 (adaptado).



","

Essa intervenção antrópica prejudica a piracema porque reduz o(a)


",percurso da migração.,longevidade dos indivíduos.,disponibilidade de alimentos.,período de migração da espécie.,número de espécies de peixes no local.,A,
