,number,context,question,A,B,C,D,E,answer,context-images
0,150,"

Uma empresa especializada em conservação de piscinas utiliza um produto para tratamento da água cujas especificações técnicas sugerem que seja adicionado 1,5 mL desse produto para cada 1 000 L de água da piscina. Essa empresa foi contratada para cuidar de uma piscina de base retangular, de profundidade constante igual a 1,7 m, com largura e comprimento iguais a 3 m e 5 m, respectivamente. O nível da lâmina d’água dessa piscina é mantido a 50 cm da borda da piscina.


","

A quantidade desse produto, em mililitro, que deve ser adicionada a essa piscina de modo a atender às suas especificações técnicas é


","11,25.","27,00.","28,80.","32,25.","49,50.",B,
1,139,"

Um casal realiza sua mudança de domicílio e necessita colocar numa caixa de papelão um objeto cúbico, de 80 cm de aresta, que não pode ser desmontado. Eles têm à disposição cinco caixas, com diferentes dimensões, conforme descrito:



• Caixa 1: 86 cm x 86 cm x 86 cm
• Caixa 2: 75 cm x 82 cm x 90 cm
• Caixa 3: 85 cm x 82 cm x 90 cm
• Caixa 4: 82 cm x 95 cm x 82 cm
• Caixa 5: 80 cm x 95 cm x 85 cm



O casal precisa escolher uma caixa na qual o objeto caiba, de modo que sobre o menor espaço livre em seu interior.


","

A caixa escolhida pelo casal deve ser a de número


",1.,2.,3.,4.,5.,C,
2,140,"








As letras do alfabeto, entre as 26 possíveis, bem como os dígitos, entre os 10 possíveis, podem se repetir em qualquer das opções.
A empresa quer escolher uma opção de formato cujo número de senhas distintas possíveis seja superior ao número esperado de clientes, mas que esse número não seja superior ao dobro do número esperado de clientes.


","

A opção que mais se adequa às condições da empresa é


",I.,II.,III.,IV.,V.,E,enem-data/enem-2017/140-images/context_img_0.png
3,136,"

Os congestionamentos de trânsito constituem um problema que aflige, todos os dias, milhares de motoristas brasileiros. O gráfico ilustra a situação, representando, ao longo de um intervalo definido de tempo, a variação da velocidade de um veículo durante um congestionamento.









","

Quantos minutos o veículo permaneceu imóvel ao longo do intervalo de tempo total analisado?


",4.,3.,2.,1.,0.,C,enem-data/enem-2017/136-images/context_img_0.png
4,151,"

Um instituto de pesquisas eleitorais recebe uma encomenda na qual a margem de erro deverá ser de, no máximo, 2 pontos percentuais (0,02).



O instituto tem 5 pesquisas recentes, P1 a P5, sobre o tema objeto da encomenda e irá usar a que tiver o erro menor que o pedido.



Os dados sobre as pesquisas são os seguintes:










em que σ é um parâmetro e N é o número de pessoas
entrevistadas pela pesquisa.


","

Qual pesquisa deverá ser utilizada?


",P1.,P2.,P3.,P4.,P5.,D,enem-data/enem-2017/151-images/context_img_0.png
5,137,"

Um garçom precisa escolher uma bandeja de base retangular para servir quatro taças de espumante que precisam ser dispostas em uma única fileira, paralela ao lado maior da bandeja, e com suas bases totalmente apoiadas na bandeja. A base e a borda superior das taças são círculos de raio 4 cm e 5 cm, respectivamente.









","

A bandeja a ser escolhida deverá ter uma área mínima, em centímetro quadrado, igual a


",192.,300.,304.,320.,400.,C,enem-data/enem-2017/137-images/context_img_0.png
6,145,"


Para realizar a viagem dos sonhos, uma pessoa precisava fazer um empréstimo no valor de R$ 5000,00. Para pagar as prestações, dispõe de, no máximo, R$ 400,00 mensais. Para esse valor de empréstimo, o valor da prestação (P) é calculado em função do número de prestações (n) segundo a fórmula












Se necessário, utilize 0,005 como aproximação para log 1,013; 2,602 como aproximação para log 400; 2,525 como aproximação para log 335.



","

De acordo com a fórmula dada, o menor número de parcelas cujos valores não comprometem o limite definido pela pessoa é


",12,14,15,16,17,D,enem-data/enem-2017/145-images/context_img_0.png
7,146,"


Raios de luz solar estão atingindo a superfície de um lago formando um ângulo X com a sua superfície, conforme indica a figura.
Em determinadas condições, pode-se supor que a intensidade luminosa desses raios, na superfície do lago, seja dada aproximadamente por I(x) = k . sen(x)
sendo k uma constante, e supondo-se que X está entre 0° e 90º.










","

Quando x = 30º, a intensidade luminosa se reduz a qual percentual de seu valor máximo?


",33%,50%,57%,70%,86%,B,enem-data/enem-2017/146-images/context_img_0.png
8,147,"

A imagem apresentada na figura é uma cópia em preto e branco da tela quadrada intitulada O peixe, de Marcos Pinto, que foi colocada em uma parede para exposição e fixada nos pontos A e B.



Por um problema na fixação de um dos pontos, a tela se desprendeu, girando rente à parede. Após o giro, ela ficou posicionada como ilustrado na figura, formando um ângulo de 45° com a linha do horizonte.










Para recolocar a tela na sua posição original, deve-se girá-la, rente à parede, no menor ângulo possível inferior a 360°


","

A forma de recolocar a tela na posição original, obedecendo ao que foi estabelecido, é girando-a em um ângulo de


",90° no sentido horário.,135° no sentido horário.,180° no sentido anti-horário.,270° no sentido anti-horário,315° no sentido horário.,B,enem-data/enem-2017/147-images/context_img_0.png
9,153,"

Num dia de tempestade, a alteração na profundidade de um rio, num determinado local, foi registrada durante um período de 4 horas. Os resultados estão indicados no gráfico de linhas. Nele, a profundidade h, registrada às 13 horas, não foi anotada e, a partir de h, cada unidade sobre o eixo vertical representa um metro.










Foi informado que entre 15 horas e 16 horas, a profundidade do rio diminuiu em 10%.


","

Às 16 horas, qual é a profundidade do rio, em metro, no local onde foram feitos os registros?


",18.,20.,24.,36.,40.,A,enem-data/enem-2017/153-images/context_img_0.png
