,number,context,question,A,B,C,D,E,answer,context-images
0,94,"


Os fones de ouvido tradicionais transmitem a música diretamente para os nossos ouvidos. Já os modelos dotados de tecnologia redutora de ruído — Cancelamento de Ruído (CR) — além de transmitirem música, também reduzem todo ruído inconsistente à nossa volta, como o barulho de turbinas de avião e aspiradores de pó. Os fones de ouvido CR não reduzem realmente barulhos irregulares como discursos e choros de bebês. Mesmo assim, a supressão do ronco das turbinas do avião contribui para reduzir a “fadiga de ruído”, um cansaço persistente provocado pela exposição a um barulho alto por horas a fio. Esses aparelhos também permitem que nós ouçamos músicas ou assistamos a vídeos no trem ou no avião a um volume muito menor (e mais seguro).

Disponível em: http://tecnologia.uol.com.br, Acesso em: 21 abr, 2015 (adaptado).



","

A tecnologia redutora de ruído CR utilizada na produção de fones de ouvido baseia-se em qual fenômeno ondulatório?


", Absorção.,Interferência.,Polarização.,Reflexão.,Difração.,B,
1,92,"


As panelas de pressão reduzem o tempo de cozimento dos alimentos por elevar a temperatura de ebulição da água. Os usuários conhecedores do utensílio normalmente abaixam a intensidade do fogo em panelas de pressão após estas iniciarem a saída dos vapores.



","

Ao abaixar o fogo, reduz-se a chama, pois assim evita-se o(a)


",aumento da pressão interna e os riscos de explosão.,dilatação da panela e a desconexão com sua tampa.,perda da qualidade nutritiva do alimento.,deformação da borracha de vedação.,consumo de gás desnecessário.,E,
2,97,"


“Pesquisadores dos Estados Unidos desenvolveram uma nova técnica, que utiliza raios de luz infravermelha (invisíveis a olho nu) para destruir tumores. Primeiramente, o paciente recebe uma injeção com versões modificadas de anticorpos que têm a capacidade de “grudar” apenas nas células cancerosas. Sozinhos, eles não fazem nada contra o tumor. Entretanto, esses anticorpos estão ligados a uma molécula, denominada IR700, que funcionará como uma “microbomba”, que irá destruir o câncer. Em seguida, o paciente recebe raios infravermelhos. Esses raios penetram no corpo e chegam até a molécula IR700, que é ativada e libera uma substância que ataca a célula cancerosa.”

(Disponível em: http://super.abril.com.br. Acesso em: 13 dez. 2012. Adaptado.)



","

Com base nas etapas de desenvolvimento, o nome apropriado para a técnica descrita é:


", Radioterapia.,Cromoterapia.,Quimioterapia.,Fotoimunoterapia., Terapia magnética.,D,
3,93,"


A nanotecnologia pode ser caracterizada quando os compostos estão na ordem de milionésimos de milímetros, como na utilização de nanomateriais catalíticos nos processos industriais. O uso desses materiais aumenta a eficiência da produção, consome menos energia e gera menores quantidades de resíduos. O sucesso dessa aplicação tecnológica muitas vezes está relacionado ao aumento da velocidade da reação química envolvida.



","

O êxito da aplicação dessa tecnologia é por causa da realização de reações químicas que ocorrem em condições de


", alta pressão., alta temperatura.,excesso de reagentes.,maior superfície de contato.,elevada energia de ativação.,D,
4,95,"


Para garantir que produtos eletrônicos estejam armazenados de forma adequada antes da venda, algumas empresas utilizam cartões indicadores de umidade nas embalagens desses produtos. Alguns desses cartões contêm um sal de cobalto que muda de cor em presença de água, de acordo com a equação química:




","

Como você procederia para reutilizar, num curto intervalo de tempo, um cartão que já estivesse com a coloração rosa?


",Resfriaria no congelador.,Borrifaria com spray de água.,Envolveria com papel alumínio.,Aqueceria com secador de cabelos.,Embrulharia em guardanapo de papel.,D,enem-data/enem-2020/95-images/context_img_0.png
5,98,"


Aranhas, escorpiões, carrapatos e ácaros são representantes da classe dos Aracnídeos. Esses animais são terrestres em sua grande maioria e ocupam os mais variados hábitats, tais como montanhas altas, pântanos, desertos e solos arenosos. Podem ter sido os primeiros representantes do filo Arthropoda a habitar a terra seca.



","

A característica que justifica o sucesso adaptativo desse grupo na ocupação do ambiente terrestre é a presença de


", quelíceras e pedipalpos que coordenam o movimento corporal., excreção de ácido úrico que confere estabilidade ao pH corporal., exoesqueleto constituído de quitina que auxilia no controle hídrico corporal.,circulação sanguínea aberta que impede a desidratação dos tecidos corporais.,sistema nervoso ganglionar que promove a coordenação central do movimento corporal.,C,
6,105,"


Grupos de proteção ao meio ambiente conseguem resgatar muitas aves aquáticas vítimas de vazamentos de petróleo. Essas aves são lavadas com água e detergente neutro para a retirada completa do óleo de seu corpo e, posteriormente, são aquecidas, medicadas, desintoxicadas e alimentadas. Mesmo após esses cuidados, o retorno ao ambiente não pode ser imediato, pois elas precisam recuperar a capacidade de flutuação.



","

Para flutuar, essas aves precisam


",recuperar o tônus muscular.,restaurar a massa corporal.,substituir as penas danificadas.,restabelecer a capacidade de homeotermia., refazer a camada de cera impermeabilizante das penas.,E,
7,104,"


O dióxido de carbono passa para o estado sólido (gelo seco) a –78 °C e retorna ao estado gasoso à temperatura ambiente. O gás é facilmente solubilizado em água, capaz de absorver radiação infravermelha da superfície da terra e não conduz eletricidade. Ele é utilizado como maté – ria-prima para a fotossíntese até o limite de saturação. Após a fixação pelos organismos autotróficos, o gás retorna ao meio ambiente pela respiração aeróbica, fermentação, decomposição ou por resíduos industriais, queima de combustíveis fósseis e queimadas. Apesar da sua importância ecológica, seu excesso causa perturbações no equilíbrio ambiental.



","

Considerando as propriedades descritas, o aumento atmosférico da substância afetará os organismos aquáticos em razão da


",redução do potencial hidrogeniônico da água.,restrição da aerobiose pelo excesso de poluentes., diminuição da emissão de oxigênio pelos autótrofos.,limitação de transferência de energia entre os seres vivos.,retração dos oceanos pelo congelamento do gás nos polos.,A,
8,101,"


Mesmo para peixes de aquário, como o peixe arco-íris, a temperatura da água fora da faixa ideal (26°C a 28°C), bem como sua variação brusca, pode afetar a saúde do animal. Para manter a temperatura da água dentro do aquário na média desejada, utilizam-se dispositivos de aquecimento com termostato. Por exemplo, para um aquário de 50 L, pode-se utilizar um sistema de aquecimento de 50 W otimizado para suprir sua taxa de resfriamento. Essa taxa pode ser considerada praticamente constante, já que a temperatura externa ao aquário é mantida pelas estufas. Utilize para a água o calor específico 4,0 kJ kg–1 K–1 e a densidade 1 kg L–1.



","

Se o sistema de aquecimento for desligado por 1 h, qual o valor mais próximo para a redução da temperatura da água do aquário?


","4,0ºC","3,6°C","0,9°C","0,6°C","0,3°C",C,
9,100,"


Plantas pioneiras são as que iniciam o processo natural de cicatrização de uma área desprovida de vegetação. Em geral, têm pequeno porte e crescem muito rápido, desenvolvem-se a pleno sol e são pouco exigentes quanto às condições do solo. Produzem grande quantidade de sementes e possuem ciclo de vida curto.

(BLUM, C. T. Lista preliminar de espécies vegetais pioneiras nativas do Paraná – versão 2005. Disponível em: www.chaua.org.br. Acesso em: 10 fev. 2015.)



","

Essas plantas são importantes em um projeto de restauração ambiental, pois promovem, no solo,


",aumento da incidência de luz solar.,diminuição da absorção de água.,estabilização da umidade,elevação de temperatura.,liberação de oxigênio.,C,
10,91,"


“Na indústria farmacêutica, é muito comum o emprego de substâncias de revestimento em medicamentos de uso oral, pois trazem uma série de benefícios como alteração de sabor em medicamentos que tenham gosto ruim, melhoria da assimilação do composto, entre outras ações. Alguns compostos poliméricos à base do polissacarídeo celulose são utilizados para garantir que o fármaco somente seja liberado quando em contato com soluções aquosas cujo pH se encontre próximo da faixa da neutralidade.”

(BORTOLINI, K. et al. Análise de perfil de dissolução de cápsulas gastrorresistentes utilizando polímeros industriais com aplicação em farmácias magistrais, Revista da Unifebe, n. 12, 2013. Adaptado.)



","

Qual é a finalidade do uso desse revestimento à base de celulose?


",Diminuir a absorção do princípio ativo no intestino., Impedir que o fármaco seja solubilizado no intestino.,Garantir que o fármaco não seja afetado pelas secreções gástricas.,Permitir a liberação do princípio ativo pela ação das amilases salivares.,Facilitar a liberação do fármaco pela ação dos sais biliares sobre o revestimento.,C,
11,107,"


Um microempresário do ramo de cosméticos utiliza óleos essenciais e quer produzir um creme com fragrância de rosas. O principal componente do óleo de rosas tem cadeia poli-insaturada e hidroxila em carbono terminal. O catálogo dos óleos essenciais apresenta, para escolha da essência, estas estruturas químicas:










","

Qual substância o empresário deverá utilizar?


",1,2,3,4,5,A,enem-data/enem-2020/107-images/context_img_0.png
12,102,"


Em uma pesquisa estão sendo testados cinco quimioterápicos quanto à sua capacidade antitumoral. No entanto, para o tratamento de pacientes, sabe-se que é necessário verificar também o quanto cada composto agride células normais. Para o experimento, partiu-se de cultivos de células tumorais  colunas escuras na figura) e células normais (colunas claras) com o mesmo número de células iniciais. Dois grupos-controle não receberam quimioterápicos: controle de células  tumorais (CT) e de células normais (CN). As colunas I, II, III, IV e V correspondem aos grupos tratados com os cinco compostos. O número de células viáveis após os tratamentos está representado pelas colunas.










","

Qual quimioterápico deve ser escolhido desse tipo de tumor?


",I,II,III,IV,V,B,enem-data/enem-2020/102-images/context_img_0.png
13,96,"


Um estudante tem uma fonte de tensão com corrente contínua que opera em tensão fixa de 12 V. Como precisa alimentar equipamentos que operam em tensões menores, ele emprega quatro resistores de 100 para construir um divisor de tensão. Obtém-se este divisor associando os resistores, como exibido na figura. Os aparelhos podem ser ligados entre os pontos A, B, C, D e E, dependendo da tensão especificada.












Ele tem um equipamento que opera em 9,0 V com uma resistência interna de 10 kΩ.



","

Entre quais pontos do divisor de tensão esse equipamento deve ser ligado para funcionar corretamente e qual será o valor da intensidade da corrente nele estabelecida?


",Entre A e C; 30 mA.,Entre B e E; 30 mA.,"Entre A e D; 1,2 mA.","Entre B e E; 0,9 mA.","Entre A e E; 0,9 mA.",D,enem-data/enem-2020/96-images/context_img_0.png
