,number,context,question,A,B,C,D,E,answer,context-images
0,152,"


O proprietário de um apartamento decidiu instalar porcelanato no piso da sala. Essa sala tem formato retangular com 3,2 m de largura e 3,6 m de comprimento. As peças do porcelanato têm formato de um quadrado com lado medindo 80 cm. Esse porcelanato é vendido em dois tipos de caixas, com os preços indicados a seguir.

Caixas do tipo A: 4 unidades de piso, R$ 35,00;
Caixas do tipo B: 3 unidades de piso, R$ 27,00.

Na instalação do porcelanato, as peças podem ser recortadas e devem ser assentadas sem espaçamento entre elas, aproveitando-se ao máximo os recortes feitos.



","

A compra que atende às necessidades do proprietário, proporciona a menor sobra de pisos e resulta no menor preço é


",5 caixas do tipo A.,1 caixa do tipo A e 4 caixas do tipo B.,3 caixas do tipo A e 1 caixa do tipo B.,5 caixas do tipo A e 1 caixa do tipo B.,6 caixas do tipo B.,C,
1,144,"


Um motociclista planeja realizar uma viagem cujo destino fica a 500 km de sua casa. Sua moto consome 5 litros de gasolina para cada 100 km rodados, e o tanque da moto tem capacidade para 22 litros. Pelo mapa, observou que no trajeto da viagem o último posto disponível para reabastecimento, chamado Estrela, fica a 80 km do seu destino. Ele pretende partir com o tanque da moto cheio e planeja fazer somente duas paradas para reabastecimento, uma na ida e outra na volta, ambas no posto Estrela. No reabastecimento para a viagem de ida, deve considerar também combustível suficiente para se deslocar por 200 km no seu destino.



","

A quantidade mínima de combustível, em litro, que esse motociclista deve reabastecer no posto Estrela na viagem de ida, que seja suficiente para fazer o segundo reabastecimento, é


",13.,14.,17.,18.,21.,C,
2,150,"


A caixa-d’água de um edifício terá a forma de um paralelepípedo retângulo reto com volume igual a 28 080 litros. Em uma maquete que representa o edifício, a caixa d’água tem dimensões 2 cm x 3,51 cm x 4 cm.
Dado: 1 dm3 = 1 L



","

A escala usada pelo arquiteto foi


",1 : 10,1 : 100,1 : 1 000,1 : 10 000,1 : 100 000,B,
3,143,"


Uma pessoa precisa comprar 15 sacos de cimento para uma reforma em sua casa. Faz pesquisa de preço em cinco depósitos que vendem o cimento de sua preferência e cobram frete para entrega do material, conforme a distância do depósito à sua casa. As informações sobre preço do cimento, valor do frete e distância do depósito até a casa dessa pessoa estão apresentadas no quadro.












A pessoa escolherá um desses depósitos para realizar sua compra, considerando os preços do cimento e do frete oferecidos em cada opção.



","

Se a pessoa decidir pela opção mais econômica, o depósito escolhido para a realização dessa compra será o


",A.,B.,C.,D.,E.,C,enem-data/enem-2020/143-images/context_img_0.png
4,147,"


Pesquisadores da Universidade de Tecnologia de Viena, na Áustria, produziram miniaturas de objetos em impressoras 3D de alta precisão. Ao serem ativadas, tais impressoras lançam feixes de laser sobre um tipo de resina, esculpindo o objeto desejado. O produto final da impressão é uma escultura microscópica de três dimensões, como visto na imagem ampliada.












A escultura apresentada é uma miniatura de um carro de Fórmula 1, com 100 micrômetros de comprimento. Um micrômetro é a milionésima parte de um metro.



","

Usando notação científica, qual é a representação do comprimento dessa miniatura, em metro?


","1,0 x 10-1","1,0 x 10-3","1,0 x 10-4","1,0 x 10-6","1,0 x 10-7",C,enem-data/enem-2020/147-images/context_img_0.png
5,138,"


Um clube deseja produzir miniaturas em escala do troféu que ganhou no último campeonato. O troféu está representado na Figura 1 e é composto por uma base em formato de um paralelepípedo reto-retângulo de madeira, sobre a qual estão fixadas três hastes verticais que sustentam uma esfera de 30 cm de diâmetro, que fica centralizada sobre a base de madeira. O troféu tem 100 cm de altura, incluída sua base.












A miniatura desse troféu deverá ser instalada no interior de uma caixa de vidro, em formato de paralelepípedo reto-retângulo, cujas dimensões internas de sua base estão indicadas na Figura 2, de modo que a base do troféu seja colada na base da caixa e distante das paredes laterais da caixa de vidro em pelo menos 1 cm. Deve ainda haver uma distância de exatos 2 cm entre o topo da esfera e a tampa dessa caixa de vidro. Nessas condições deseja-se fazer a maior miniatura possível.



","

A medida da altura, em centímetro, dessa caixa de vidro deverá ser igual a


",12.,14.,16.,18.,20.,B,enem-data/enem-2020/138-images/context_img_0.png
6,148,"


A fabricação da Bandeira Nacional deve obedecer ao descrito na Lei n. 5.700, de 1º de setembro de 1971, que trata dos Símbolos Nacionais. No artigo que se refere às dimensões da Bandeira, observa-se:





“Para cálculos das dimensões, será tomada por base a largura, dividindo-a em 14 (quatorze) partes iguais, sendo que cada uma das partes será considerada uma medida ou um módulo (M). Os demais requisitos dimensionais seguem o critério abaixo:
 

Comprimento será de vinte módulos (20 M);
A distância dos vértices do losango amarelo ao quadro externo será de um módulo e sete décimos (1,7 M);
O raio do círculo azul no meio do losango amarelo será de três módulos e meio (3,5 M).”


BRASIL, Lei n. 5.700, de 1° de setembro de 1971. Disponível em: www.planalto.gov.br. Acesso em: 15 set. 2015.





A figura indica as cores da bandeira do Brasil e localiza o quadro externo a que se refere a Lei n. 5.700.












Um torcedor, preparando-se para a Copa do Mundo e dispondo de cortes de tecidos verde (180 cm x 150 cm) e
amarelo (o quanto baste), deseja confeccionar a maior Bandeira Nacional possível a partir das medidas do tecido verde.



","

Qual a medida, em centímetro, do lado do menor quadrado de tecido azul que deverá ser comprado para confecção do círculo da bandeira desejada?


",27,32,53,63,90,D,enem-data/enem-2020/148-images/context_img_0.png
7,153,"


Um hotel de 3 andares está sendo construído. Cada andar terá 100 quartos. Os quartos serão numerados de 100 a 399 e cada um terá seu número afixado à porta. Cada número será composto por peças individuais, cada uma simbolizando um único algarismo.



","

Qual a quantidade mínima de peças, simbolizando o algarismo 2, necessárias para identificar o número de todos os quartos?


",160,157,130,120,60,A,
8,142,"


Três amigos, André, Bernardo e Carlos, moram em um condomínio fechado de uma cidade. O quadriculado representa a localização das ruas paralelas e perpendiculares, delimitando quadras de mesmo tamanho nesse condomínio, em que nos pontos A, B e C estão localizadas as casas de André, Bernardo e Carlos, respectivamente.












André deseja deslocar-se da sua casa até a casa de Bernardo, sem passar pela casa de Carlos, seguindo ao longo das ruas do condomínio, fazendo sempre deslocamentos para a direita (→) ou para cima (↑), segundo o esquema da figura.



","

O número de diferentes caminhos que André poderá utilizar para realizar o deslocamento nas condições propostas é


",4,14,17,35,48,C,enem-data/enem-2020/142-images/context_img_0.png
9,146,"


Para chegar à universidade, um estudante utiliza um metrô e, depois, tem duas opções:

seguir num ônibus, percorrendo 2,0 km;
alugar uma bicicleta, ao lado da estação do metrô, seguindo 3,0 km pela ciclovia.

O quadro fornece as velocidades médias do ônibus e da bicicleta, em km/h, no trajeto metrô-universidade.










","

A fim de poupar tempo no deslocamento para a universidade, em quais dias o aluno deve seguir pela ciclovia?


","Às segundas, quintas e sextas-feiras.",Às terças e quintas-feiras e aos sábados.,"Às segundas, quartas e sextas-feiras.","Às terças, quartas e sextas-feiras.",Às terças e quartas-feiras e aos sábados.,C,enem-data/enem-2020/146-images/context_img_0.png
