,number,context,question,A,B,C,D,E,answer,context-images
0,2,"


Pablo Pueblo
Regresa un hombre en silencio
De su trabajo cansado
Su paso no lleva prisa
Su sombra nunca lo alcanza
Lo espera el barrio de siempre
Con el farol en la esquina
Con la basura allá en frente
Y el ruido de la cantina
Pablo Pueblo
llega hasta el zaguán oscuro
Y vuelve a ver las paredes
Con las viejas papeletas
Que prometían futuros
en lides politiqueras
Y en su cara se dibuja
la decepción de la espera.

BLADES. R. DisponíveI em: http://rubenblades.com. Acesso em: 26 jun. 2012 (fragmento)



","

Rubén Blades é um compositor panamenho de canções socialmente engajadas. O título Pablo Pueblo, associado ao conteúdo da letra da canção, revela uma crítica social ao


",contrapor a individualidade de um sujeito a uma estrutura social marcada pela decepção na atuação política.,demonstrar que o problema sofrido pelo indivíduo atinge toda a comunidade.,relativizar a importância que se dá ao sofrimento individual em uma estrutura social baseada na exploração.,"descrever a vida de um sujeito que nunca resolve suas inquietações e, por isso, mantém-se silencioso.",usar um apelido jocoso para designar a atuação de um indivíduo em seu próprio bairro.,A,
1,4,"


Oye, Pito, ésta es: la vida bruta de un boy
mis tierras eran
nuevo méxico, colorado,
california, arizona, tejas,
y muchos otros senderos,
aún cuando la luz existía
sonrientemente
en las palabras
de mis antepasados…
era entonces hombre,
maduro y sencillo
como los cerros y los peñascos,
y mi cultura era el atole,
el chaquehue, y los buenos días;
mi idioma cantaba
versículos
por los cañones
de tierra roja
y tierra amarilla…
Hoy sí, hoy ya no soy
mejicano ni hispano
ni tampoco americano,
pero soy — y bien lo siento ser —
una sombra del pasado
y un esfuerzo
hacia el futuro…

SÁNCHEZ. R. Disponível em: www.materialdelectura.unam.mx. Acesso em: 4 dez. 2017.



","

Ao abordar a expropriação de territórios mexicanos pelos Estados Unidos, o eu lírico do poema revela um(a)


",rejeição da língua utilizada por seus antepassados.,desejo de pertencimento ao espaço estadunidense.,certeza de manutenção de suas tradições.,reivindicação de um mundo unificado.,sentimento de conflito de identidades.,E,
2,1,"


Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments.
“Colour four.”
“Not good colour,” Aisha said promptly.
“That’s what I use.”
“It look dirty. You don’t want colour one?”
“Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.”
Aisha shrugged, a haughty shrug, as though it was not her problem if her customer did not have good taste. She reached into a cupboard, brought out two packets of attachments, checked to make sure they
were both the same colour.
She touched Ifemelu’s hair. “Why you don’t have relaxer?”
“I like my hair the way God made it.”
“But how you comb it? Hard to comb,” Aisha said.
Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if you moisturize it properly,” she said, slipping into the coaxing tone of the proselytizer that she used whenever she was trying to convince other black women about the merits of wearing their hair natural. Aisha snorted; she clearly could not understand why anybody would choose to suffer through combing natural hair, instead of simply relaxing it. She sectioned out Ifemelu’s hair, plucked a little attachment from the pile on the table and began deftly to twist.
ADICHIE, C. Americanah: A novel. New York: Archor Books, 2013.



","

A passagem do romance da escritora nigeriana traz um diálogo entre duas mulheres negras: a cabeleireira, Aisha, e a cliente, Ifemelu. O posicionamento da cliente é sustentado por argumentos que


",reforçam um padrão de beleza.,retratam um conflito de gerações.,revelam uma atitude de resistência.,demonstram uma postura de imaturidade.,evidenciam uma mudança de comportamento.,C,
3,5,"


La violencia como bella arte
Pues bien, ‘Relatos Salvajes’, de Damián Szifrón, es
sobre todo un brilhante esfuerzo por poner rostro, por
fotografiar, a la parte de la violencia que tanto cuesta ver
en el cine. De repente, el director argentino coloca la
espectador ante el espectáculo, digamos putrefacto, de
una sociedad enferma de su propia indolencia,
anestesiada por su ira, incapaz de entender el origen de
la insatisfacción que la habita. ¿Cómo se quedan? Sí,
estamos delante de la una película vocacionalmente
violenta, obligadamente salvaje, pero, y sobre todo,
deslumbrante en su claridad.
Más allá del esplendor sabio de una producción
perfecta, lo que más duele, lo que más divierte, lo que
más conmueve es la sensación de reconocimiento. Cada
uno de los damnificados, pese a su acento marcadamente
argentino, somos nosotros. O, mejor, cada insulto
proferido, y no siempre entendido, es nuestro, en algún
momento ha salido de nuestra boca. O saldrá.
La violencia no es sólo eso que tanto desagrada a los
profesionales del buen gusto, a los programadores de
ópera o a los filósofos de la nada; la violencia, la
realmente insoportable, es también una cuestión de
actitud, un simple gesto. Y esa violencia está por todas
partes, está dentro. Y Szifrón acierta a retrataria tan
fielmente que no queda otra cosa que romper a reír.
Aunque sólo sea de simple desesperación. Brillante,
magistral incluso.

MARTÍNEZ, L. Disponível em: www.elmundo.es. Acesso em: 13 abr. 2015 (adaptado).



","

Nessa resenha crítica acerca do filme Relatos Salvajes, o autor evidencia o


",cômico como fuga da sociedade diante de situações violentas.,estado de apatia da sociedade perante a violência rotineira do mundo atual.,empecilho para o espectador vivenciar a violência bruta na realidade e na ficção.,sotaque reforçado dos personagens a fim de marca.r o espaço do cinema argentino.,autorreconhecimento diante dos diversos tipos de comportamento humano frente à violência.,E,
4,3,"


No Madonna and Child could touch
Her tenderness for a son
She soon would have to forget. . . .
The air was heavy with odors of diarrhea,
Of unwashed children with washed-out ribs
And dried-up bottoms waddling in labored steps
Behind blown-empty bellies. Other mothers there
Had long ceased to care, but not this one:
She held a ghost-smile between her teeth,
And in her eyes the memory
Of a mother’s pride. . . . She had bathed him
And rubbed him down with bare palms.
She took from their bundle of possessions
A broken comb and combed
The rust-colored hair left on his skull
And then—humming in her eyes—began carefully to part it.
In their former life this was perhaps
A little daily act of no consequence
Before his breakfast and school; now she did it
Like putting flowers on a tiny grave.



ACHEBE, C. Collected Poems. New Yorrk: Anchor Books, 2004.



","

O escritor nigeriano Chinua Achebe traz uma reflexão sobre a situação dos refugiados em um cenário pós-guerra civil em seu páis. Essa reflexão é construída no poema por meio da representação de uma mãe, explorando a(s):


",demonstração de orgulho por não precisar pedir doações.,descrições artísticas detalhadas de uma obra conhecida.,aceitação de um diagnóstico de doença terminal do filho.,consternação ao visitar o túmulo do filho recém-falecido.,impressões sensoriais experimentadas no ambiente.,E,
5,9,"


Eu tenho empresas e sou digno do visto para ir a Nova York. O dinheiro que chove em Nova York é para pessoas com poder de compra. Pessoas que tenham um visto do consulado americano. O dinheiro que chove em Nova
York também é para os nova-iorquinos. São milhares de dólares. […] Estou indo para Nova York, onde está chovendo dinheiro. Sou um grande administrador. Sim, está chovendo dinheiro em Nova York. Deu no rádio. Vejo que há pedestres invadindo a via onde trafega o meu carro vermelho, importado da Alemanha. Vejo que há carros nacionais trafegando pela via onde trafega o meu carro vermelho, importado da Alemanha. Ao chegar em Nova York, tomarei providências.

SANTANNA, A. O importado vermelho de Noé. In: MORICONI. I. (Org.). Os cem melhores contos. Rio de Janeiro: Objetiva. 2001.



","

As repetições e as frases curtas constituem procedimentos linguísticos importantes para a compreensão da temática do texto, pois


",expressam a futilidade do discurso de poder e de distinção do narrador.,disfarçam a falta de densidade das angústias existenciais narradas.,ironizam a valorização da cultura norte-americana pelos brasileiros.,explicitam a ganância financeira do capitalismo contemporâneo.,criticam os estereótipos sociais das visões de mundo elitistas.,A,
6,1,"


Los propietarios de la libertad
Las palabras cumplen ciclos; las actitudes también. Sin embargo, cuando las palabras designan actitudes, los ciclos se vuelven más complejos. Cuando el hoy tan denostado Sartre puso la palabra compromiso sobre el tapete y hasta Mac Leish publicó un libro sobre la responsabilidad de los intelectuales, estas dos palabras, compromiso y responsabilidad, designaban actitudes que, sin ser gemelas, eran bastante afines. Salvo contadas excepciones, los intelectuales de entonces los hicieron suyas y, equivocados o no, dijeron sin eufemismos por
qué empeño se la jugaban.
Los intelectuales latinoamericanos tambiéncomprendieron dónde estaba esta vez el enemigo. Sólo entonces empezó la mala prensa. Los grandes pontífices de la propaganda subrayaron una y otra vez la palabra libertad y denostaron el compromiso. Libertad no era librarse de Batista o de Somoza, sino mantener la prensa libre. Libertad es la emocionada comprobación de que la gran prensa norteamericana es capaz de descubrir que Lumumba o Aliende fueron liquidados por la CIA, sin poner el acento en que eso no sirve para resucitarlos.
¿Y compromiso? Es la actitud que adoptan ciertos intelectuales, cuya carga ideológica perjudica notoriamente su arte. Después de todo, ¿cómo se atrevena frecuentar las provincias del espiritu, si es público y notorio que tales ámbitos son patrimonio exclusivo de los propietarios de la Iibertad?

BENEDETTI, M. Perplejidades de fin de siglo. Buenos Aires: Sudamericana, 1993 (adaptado)



","

Transformar palavras em atitudes tem sido um dos grandes dilemas dos intelectuais. Ao ponderar sobre essa temática, o autor, um dos grandes críticos e literatos latino-americanos da atualidade, leva o leitor a perceber que


",o compromisso político afasta o artista da criação.,os costumes sociais governam a linguagem e as atitudes das pessoas.,o compromisso ideológico de alguns intelectuais está refletido em suas obras.,a complexidade relacionada ao conceito de liberdade impede o compromisso.,os intelectuais latino-americanos têm um posiciona - mento acrítico perante o poder.,C,
7,8,"


Chiquito tinha quase trinta quando conheceu Mariana num baile de casamento na Forquilha, onde moravam uns parentes dele. Por lá foi ficando, remanchando. Fez mal à moça, como costumavam dizer, tiveram de casar às pressas. Morou uns tempos com o sogro, descombinaram. Foi só conta de colher o milho e vender. Mudou pra casa do velho Chico Lourenço [seu pai]. Fumaça própria só viu subir um par de anos depois, quando o pai repartiu as terras. De tão parecidos, pai e filho nunca combinaram direito. Cada qual mais topetudo, muitas vezes dona Aparecida ouvia o marido reclamar da natureza forte do filho. Ela escutava com paciência e respondia dum jeito sempre igual:
– “Quem herda, não rouba”.
Vinha um brilho nos olhos, o velho se acalmava.

ROMANO, O. Casos de Minas. Rio de Janeiro: Paz e Terra, 1982.



","

Os ditados populares são frases de sabedoria criadas pelo povo, utilizadas em várias situações da vida. Nesse texto, a personagem emprega um ditado popular com a intenção de


",criticar a natureza forte do filho.,justificar o gênio difícil de Chiquito.,legitimar o direito do filho à herança.,conter o ânimo violento de Chico Lourenço.,condenar a agressividade do marido contra o filho.,B,
8,10,"


DECRETO N. 28 314, DE 28 DE SETEMBRO DE
2007

Demite o Gerúndio do Distrito Federal
e dá outras providências.

O GOVERNADOR DO DISTRITO FEDERAL, no uso das atribuições que lhe confere o artigo 100, incisos VII e XXVI, da Lei Orgânica do Distrito Federal,
DECRETA:
Art. 1.° Fica demitido o Gerúndio de todos os órgãos do Governo do Distrito Federal.
Art. 2.° Fica proibido, a partir desta data, o uso do gerúndio para desculpa de INEFICIÊNCIA.
Art. 3.° Este Decreto entra em vigor na data de sua publicação.
Art. 4.° Revogam-se as disposições em contrário.

Brasília, 28 de setembro de 2007.
119.° da República e 48.° de Brasília

Disponível em: www.dodf.gov.br. Acesso em: 11 dez. 201



","

Esse decreto pauta-se na ideia de que o uso do gerúndio, como “desculpa de ineficiência”, indica


", conclusão de uma ação., realização de um evento.,repetição de uma prática., continuidade de um processo.,transferência de responsabilidade.,D,
9,7,"


Mulher tem coração clinicamente partido após morte de cachorro
Como explica o The New England Journal of Medicine, a paciente, chamada Joanie Simpson, tinha sinais de infarto, como dores no peito e pressão alta, e apresentava problemas nas artérias coronárias. Ao fazerem um ecocardiograma, os médicos encontraram o problema: cardiomiopatia de Takotsubo, conhecido como síndrome do coração partido.
Essa condição médica tipicamente acontece com mulheres em fase pós-menstrual e pode ser precedida por um evento muito estressante ou emotivo. Nesses casos, o coração apresenta um movimento discinético transitório da parede anterior do ventrículo esquerdo, com acentuação da cinética da base ventricular, de acordo com um artigo médico brasileiro que relata um caso semelhante. Simpson foi encaminhada para casa após dois dias e passou a tomar medicamentos regulares.
Ao Washington Post, ela contou que estava quase inconsolável após a perda do seu animal de estimação, um cão de raça yorkshire terrier. Recuperada após cerca de um ano, ela diz que não abrirá mão de ter um animal de estimação porque aprecia a companhia e o amor que os cachorros dão os humanos. O caso aconteceu em Houston, nos Estados Unidos.

Disponível em: https://exame.abril.com.br. Acesso em: 1 dez. 2017.



","

Pelas características do texto lido, que trata das consequências da perda de um animal de estimação, considera-se que ele se enquadra no gênero


","conto, pois exibe a história de vida de Joanie Simpson.","depoimento, pois expõe o sofrimento da dona do animal.","reportagem, pois discute cientificamente a cardiomiopatia.","relato, pois narra um fato estressante vivido pela paciente.","notícia, pois divulga fatos sobre a síndrome do coração partido.",E,
10,6,"










Disponível em: www.bhaz.com.br. Acesso em: 14 jun. 2018.



","

Essa campanha de conscientização sobre o assédio sofrido pelas mulheres nas ruas constrói-se pela combinação da linguagem verbal e não verbal. A imagem da mulher com o nariz e a boca cobertos por um lenço é a representação não verbal do(a)


","silêncio imposto às mulheres, que não podem denunciar o assédio sofrido.",metáfora de que as mulheres precisam defender-se do assédio masculino.,constrangimento pelo qual passam as mulheres e sua tentativa de esconderem-se.,necessidade que as mulheres têm de passarem despercebidas para evitar o assédio.,incapacidade de as mulheres protegerem-se da agressão verbal dos assediadores.,B,enem-data/enem-2020/6-images/context_img_0.png
11,2,"


A Minor Bird
I have wished a bird would fly away,
And not sing by my house all day;
Have clapped my hands at him from the door
When it seemed as if I could bear no more.
The fault must partly have been in me.
The bird was not to blame for his keys.
And of course there must be something wrong
In waiting to silence any song.

FROST, R. West-running Brook. New York: Henry Holt and Company, 1928.



","

No poema de Robert Frost, as palavras fault e blame revelam por parte do eu lírico uma


",culpa por não poder cuidar do pássaro.,atitude errada por querer matar o pássaro.,necessidade de entender o silêncio do pássaro.,sensibilização com relação à natureza do pássaro.,irritação quanto à persistência do canto do pássaro.,D,
12,5,"







","

Os reursos usados nesse pôster de divulgação de uma campanha levam o leitor a refletir sobre a necessidade de


",criticar o tipo de tratamento dado à mulher.,rever o desempenho da mulher no trabalho.,questionar a sobrecarga de atribuições da mulher.,analisar as pesquisas acerca dos direitos da mulher.,censurar a mulher pelo uso de determinadas palavras.,A,enem-data/enem-2020/5-images/context_img_0.png
13,4,"







","

Nesse pôster de divulgação de uma campanha que aborda a diversidade e a inclusão, a interação dos elementos verbais e não verbais faz referência ao ato de


",esteriotipar povos de certas culturas,discriminar hábitos de grupos minoritários,banir imigrantes de determinadas origens,julgar padrões de beleza de diversas etnias,desvalorizar costumes de algumas sociedades.,A,enem-data/enem-2020/4-images/context_img_0.png
14,11,"









A obra de Joseph Kosuth data de 1965 e se constitui por uma fotografia de cadeira, uma cadeira exposta e um quadro com o verbete “Cadeira”. Trata-se de um exemplo de arte conceitual que revela o paradoxo entre verdade e imitação, já que a arte

KOSUTH J. One and Three Chairs. Museu Reina Sofia, Espanha, 1965.
Disponível em: www.museoreinasofia.es. Acesso em: 4 jun. 2018
(adaptado).



","

A obra de Joseph Kosuth data de 1965 e se constitui por uma fotografia de cadeira, uma cadeira exposta e um quadro com o verbete “Cadeira”. Trata-se de um exemplo
de arte conceitual que revela o paradoxo entre verdade e imitação, já que a arte


","não é a realidade, mas uma representação dela.","fundamenta-se na repetição, construindo variações.","não se define, pois depende da interpretação do fruidor.","resiste ao tempo, beneficiada por múltiplas formas de registro."," redesenha a verdade, aproximando-se das definições lexicais.",A,enem-data/enem-2020/11-images/context_img_0.png
