,number,context,question,A,B,C,D,E,answer,context-images
0,142,"


Um lava-rápido oferece dois tipos de lavagem de veículos: lavagem simples, ao preço de R$ 20,00, e lavagem completa, ao preço de R$35,00. Para cobrir as despesas com produtos e funcionários, e não ter prejuízos, o lava-rápido deve ter uma receita diária de, pelo menos, R$300,00.



","

Para não ter prejuízo, o menor número de lavagens diárias que o lava rápido deve efetuar é


",6,8,9,15,20,C,
1,136,"


O sistema de numeração romano ainda é utilizado na indicação de capítulos e volumes de livros, na designação de séculos e, em ordem cronológica, de papas e reis de mesmo nome. São utilizadas sete letras do alfabeto:
Quatro fundamentais: I (vale 1); X (vale 10); C (vale 100) e M (vale 1 000).
Três secundárias: V (vale 5); L (vale 50); e D (vale 500).
As regras para escrever números romanos são:
1. Não existe símbolo correspondente ao zero;
2. Os símbolos fundamentais podem ser repetidos até três vezes e seus valores são adicionados. Exemplo: XXX = 30;
3. Uma letra posta à esquerda de outra de maior valor indica subtração dos respectivos valores. Exemplo: IX = 10 – 1 = 9;
4. Uma letra posta à direita de outra de maior valor indica adição dos respectivos valores. Exemplo: XI = 10 + 1 = 11
Em uma cidade europeia há uma placa indicando o ano de sua fundação: MCDLXIX.



","

Quantos anos de fundação essa cidade comemorará em 2050?


",379,381,579,581,601,D,
2,148,"


O dono de uma loja pretende usar cartões imantados para a sua divulgação de sua loja. A empresa que fornecerá o serviço lhe informa que o custo de fabricação do cartão é de R$0,01 por centímetro quadrado e que disponibiliza modelos tendo como faces úteis para impressão:

um triângulo equilátero de lado 12 cm;
um quadrado de lado 8 cm;
um retângulo de lados 11 cm e 8 cm;
um hexágono regular de lado 6cm;
um círculo de diâmetro 10 cm.

O dono da loja está disposto a pagar, no máximo, R$0,80 por cartão. Ele escolherá, dentro desse limite de preço, o modelo que tiver maior área de impressão.
Use 3 como aproximação para π e use 1,7 como aproximação para √3.



","

Nessas condições, o modelo que deverá ser escolhido tem como face útil para impressão um


",triângulo,quadrado,retângulo,hexágono,círculo,E,
3,138,"


Uma unidade de medida comum usada para a expressar áreas de terrenos de grandes dimensões é o hectare, que equivale a 10 000 m². Um fazendeiro decide fazer um loteamento utilizando 3 hectares de sua fazenda, dos quais 0,9 hectare será usado para a construção de ruas e calçadas e o restante será dividido em terrenos com área de 300 m² cada um. Os 20 primeiros terrenos vendidos terão preços promocionais de R$ 20 000,00 cada, e os demais, R$ 30 000,00 cada.



","

Nas condições estabelecidas, o valor total, em real, obtido, pelo fazendeiro com a venda de todos os terrenos será igual a


",700 000,1 600 000,1 900 000,2 200 000,2 800 000,C,
4,141,"


Um ciclista amador de 61 anos de idade utilizou um monitor cardíaco para medir suas frequências cardíacas em quatro diferentes tipos de trechos do percurso. Os resultados das frequências cardíacas máximas alcançadas nesses trechos foram:












Sabe-se que a faixa aeróbica ideal para o ganho de condicionamento físico é entre 65% e 85% da frequência cardíaca máxima (Fc máx), que, por sua vez, é determinada pela fórmula:
Fc máx. = 220 – idades,
em que a idade é dada em ano e Fc máx. é dada em bpm (batimento por minuto).
 



","

Os trechos do percurso nos quais esse ciclista se mantém dentro de sua faixa aeróbica ideal, para o ganho de condicionamento físico, são:


","leve no plano, forte no plano, subida moderada e subida forte.","leve no plano, forte no plano e subida moderada. ","forte no plano, subida moderada e subida forte. ",forte no plano e subida moderada. ,leve no plano e subida forte. ,D,enem-data/enem-2021/141-images/context_img_0.png
5,140,"


Os diretores de uma escola precisam construir um laboratório para uso dos alunos. Há duas possibilidades:
(i) um laboratório do tipo A, com capacidade para 100 usuário, a um custo de 180 mil reais e gastos de 60 mil reais por ano para manutenção;
(ii) um laboratório do tipo B, com capacidade para 80 usuários, a um custo de 120 mil reais e gastos com manutenção de 16 mil reais por ano.
Considera-se que, em qualquer caso, o laboratório implantado será utilizado na totalidade de sua capacidade.



","

A economia da escola, na utilização de um laboratório tipo B, em vez de um laboratório tipo A, num período de 4 anos, por usuário, será de


","1,31 mil reais","1,90 mil reais","2,30 mil reais","2,36 mil reais","2,95 mil reais",B,
6,144,"


Muitos brinquedos que frequentemente são encontrados em praças e parques públicos apresentam formatos de figuras geométricas bidimensionais e tridimensionais. Uma empresa foi contratada para desenvolver uma nova forma de brinquedo. A proposta apresentada pela empresa foi de uma estrutura formada apenas por hastes metálicas, conectadas umas às outras, como apresentado na figura. As hastes de mesma tonalidade e espessura são congruentes.










","

Com base na proposta apresentada, quantas figuras geométricas planas de cada tipo são formadas pela união das hastes?


",12 trapézios isósceles e 12 quadrados. ,24 trapézios isósceles e 12 quadrados. ,12 paralelogramos e 12 quadrados. ,8 trapézios isósceles,,A,enem-data/enem-2021/144-images/context_img_0.png
7,146,"


O instrumento da percussão conhecido como triângulo é composto por uma barra fina de aço, dobrada em um formato que se assemelha a um triângulo, com uma abertura e uma haste, conforme ilustra a Figura 1.












Uma empresa de brindes promocionais contrata uma fundição para a produção de miniaturas de instrumentos desse tipo. A fundição produz, inicialmente, peças com o formato de uma triângulo equilátero de altura h, conforme ilustra a Figura 2. Após esse processo, cada peça é aquecida, deformando os cantos, e cortada em um dos vértices, dando origem à miniatura. Assuma que não ocorram perdas de material no processo de produção, de forma que o comprimento da barra utilizada seja igual ao perímetro do triângulo equilátero representado na Figura 2.
Considere 1,7 como valor aproximado para √3.
Nessas condições, o valor que mais se aproxima da medida do comprimento da barra, em centímetro, é



","

Nessas condições, o valor que mais se aproxima da medida do comprimento da barra, em centímetro, é:


","9,07.","13,60.","20,40.","27,18.","36,24.",D,enem-data/enem-2021/146-images/context_img_0.png
8,137,"


Uma das bases mais utilizadas para representar um número é a base decimal. Entretanto, os computadores trabalham com números na base binária. Nessa base, qualquer número natural é representado usando apenas os algarismos 0 e 1. Por exemplo, as representações dos números 9 e 12, na base binárias, são 1001 e 1100, respectivamente. A operação de adição, na base binária, segue um algoritmo similar ao utilizado na base decimal, como detalhado no quadro:





Por exemplo, na base binária, a soma dos números 10 e 10 é 100, como apresentado:










","

Considerando as informações do texto, o resultado da adição 9 + 12 será representado, na base binária, por


",101,1101,1111,10101,11001,D,enem-data/enem-2021/137-images/context_img_0.png
9,147,"


Uma pessoa comprou uma caneca para tomar sopa, conforme ilustração.












Sabe-se que 1 cm³ = 1 mL e que o topo da caneca é uma circunferência de diâmetro (D) medindo 10 cm, e a base é um círculo de diâmetro (d) medindo 8 cm. Além disso, sabe-se que a altura (h) dessa caneca mede 12 cm (distância entre o centro das circunferências do topo e da base).
Utilize 3 como aproximação para π.
 



","

Qual é a capacidade volumétrica, em milimitro, dessa caneca?


",216,408,732,2196,2928,C,enem-data/enem-2021/147-images/context_img_0.png
