,number,context,question,A,B,C,D,E,answer,context-images
0,93,"


O alcoolômetro Gay Lussac é um instrumento destinado a medir o teor de álcool, em porcentagem de volume (v/v), de soluções de água e álcool na faixa de 0º GL a 100ºGL, com divisões de 0,1ºGL. A concepção do alcoolômetro se baseia no princípio de flutuabilidade de Arquimedes, semelhante ao funcionamento de um densímetro. A escala do instrumento é aferida a 20ºC, sendo necessária a correção da medida, caso a temperatura da solução não esteja na temperatura de aferição. É apresentada parte da tabela de correção de um alcoolômetro, com a temperatura.













Manual alcoolômetro Gay Lussac. Disponível em: www.incoterm.com.br. Acesso em: 4 dez. 2018 (adaptado).



","

É necessário a correção da medida do instrumento, pois um aumento na temperatura promove o(a)


",aumento da dissociação da água.,aumento da densidade da água e do álcool.,mudança do volume dos materiais por dilatação.,aumento da concentração de álcool durante a medida.,alteração das propriedades químicas da mistura álcool e água.,C,enem-data/enem-2021/93-images/context_img_0.png
1,97,"


Nas angiospermas, além da fertilização da oosfera, existe uma segunda fertilização que resulta num tecido triploide.



","

Essa segunda fertilização foi importante evolutivamente, pois viabilizou a formação de um tecido de


",nutrição para o fruto.,reserva para o embrião.,revestimento para a semente.,proteção para o megagametófito.,vascularização para a planta jovem.,B,
2,98,"


Com o objetivo de proporcionar aroma e sabor a diversos alimentos, a indústria alimentícia se utiliza de flavorizantes. Em geral, essas substâncias são ésteres, como as apresentadas no quadro.










","

O aroma do flavorizante derivado do ácido etanoico e que apresenta cadeia carbônica saturada é de


",kiwi.,banana.,pêssego.,rum.,uva.,B,enem-data/enem-2021/98-images/context_img_0.png
3,102,"


O plantio por estaquia é um método de propagação de plantas no qual partes de um espécime são colocadas no solo para produzir novas gerações. Na floricultura, é comum utilizar o caule das roseiras para estaquia, pois a propagação da planta é positiva em razão da aplicação de auxinas na porção inferior do caule.



","

A utilização de auxinas no método de estaquia das roseiras contribui para


",floração da planta.,produção de gemas laterais.,formação de folhas maiores.,formação de raízes adventícias.,produção de compostos energéticos.,D,
4,100,"


Entre 2014 e 2016, as regiões central e oeste da África sofreram um grave epidemia de febre hemorrágica causada pelo vírus ebola, que se manifesta em até 21 dias após a infecção e cuja taxa de letalidade (enfermos que vão a óbito) pode chegar a 90%. Em regiões de clima tropical e subtropical, um outro vírus também pode causar febre hemorrágica: o vírus da dengue, que, embora tenha período de incubação menor (até 10 dias), apresenta taxa de letalidade abaixo de 1%.

Disponível em: www.who.int. Acesso em: 1 fev. 2017 (adaptado).
 



","

Segundo as informações do texto e aplicando princípios de evolução biológica às relações do tipo patógeno-hospedeiro, qual dos dois vírus infecta seres humanos há mais tempo?


","Ebola, pois o maior período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.","Dengue, pois o menor período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.","Ebola, cuja alta letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo de sua evolução.","Ebola, cujos surtos epidêmicos concentram-se no continente africano, reconhecido como berço da origem evolutiva dos seres humanos.","Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro.",E,
5,96,"


Carros elétricos estão cada vez mais baratos, no entanto, os órgãos governamentais e a indústria se preocupam com o tempo de recarga das baterias, que é muito mais  lento quando comparado ao tempo gasto para encher o tanque de combustível. Portanto, os usuários de transporte individual precisam se conscientizar dos ganhos ambientais dessa mudança e planejar com antecedência seus percursos, pensando em pausas necessárias para recargas.
Após realizar um percurso de 110km, um motorista pretende recarregar as baterias de seu carro elétrico, que tem um desempenho médio de 5,0 km/kWh, usando um carregador ideal que opera a uma tensão de 220 V e é percorrido por uma corrente de 20 A.



","

Quantas horas são necessárias para recarregar a energia utilizadas nesse percurso?


","0,005 ","0,125 ","2,5 ","5,0","8,0 ",D,
6,104,"


Analisando a ficha técnica de um automóvel popular, verificam-se algumas características em relação ao seu desempenho. Considerando o mesmo automóvel em duas versões, uma delas funcionando a álcool e outra, a gasolina, tem-se os dados apresentados no quadro, em relação ao desempenho de cada motor.



","

Considerando desprezível a resistência do ar, qual versão apresenta a maior potência?


","Como a versão a gasolina consegue a maior aceleração, esta é a que desenvolve a maior potência.","Como a versão a gasolina atinge a maior valor de energia cinética, esta é a que desenvolve a maior potência.","Como a versão a álcool apresenta a maior taxa de variação de energia cinética, esta é a que desenvolve a maior potência.","Como ambas as versões apresentam a mesma variação de velocidade no cálculo da aceleração, a potência desenvolvida é a mesma.","Como a versão a gasolina fica com o motor trabalhando por mais tempo para atingir os 100 km/h, esta é a que desenvolve a maior potência.",C,
7,92,"


O quadro lista alguns dispositivos eletrônicos que estão presentes no dia a dia, bem como a faixa de força eletromotriz necessária ao seu funcionamento.












Considere que uma bateria é construída pela associação em série de três pilhas de lítio-iodo, nas condições-padrão, conforme as semiequações de redução apresentadas.
 










","

Essa bateria é adequada para o funcionamento de qual dispositivo eletrônico?


",I,II,III,IV,V,D,"enem-data/enem-2021/92-images/context_img_0.png,enem-data/enem-2021/92-images/context_img_1.png"
8,95,"


Estudo aponta que a extinção de preguiças-gigantes, cuja base da dieta eram frutos e sementes, provocou impactos consideráveis na vegetação do Pantanal brasileiro. A flora, embora não tenha desaparecido, tornou-se menos abundante que no passado, além de ocupar áreas mais restritas.

BICUDO, F. Jardineiro da pesada. Ecologia. Pesquisa Fapesp, ed. 231, maio 2015 (adaptado).



","

O evento descrito com a flora ocorreu em razão da redução


",da produção de flores.,do tamanho das plantas.,de fatores de disseminação das sementes.,da quantidade de semente por fruto.,dos hábitats disponíveis para as plantas.,C,
9,109,"


Com o aumento da população de suínos no Brasil, torna-se necessária a adoção de métodos para reduzir o potencial poluidor dos resíduos dessa agroindústria, uma vez que, comparativamente ao esgoto doméstico, os dejetos suínos são 200 vezes mais poluentes. Sendo assim, a utilização desses resíduos como matéria-prima na obtenção de combustíveis é uma alternativa que permite diversificar a matriz energética nacional, ao mesmo tempo em que parte dos recursos hídricos do país são preservados.
 

BECK, A. M. Resíduos suínos como alternativa energética sustentável. XXVII Encontro Nacional de Engenharia de Produção. Anais ENEGEP, Foz do Iguaçu, 2007 (adaptado).



","

O biocombustível a que se refere o texto é o


",etanol ,biogás ,butano ,metanol ,biodiesel,B,
10,101,"


A imagem apresenta as etapas do funcionamento de uma estação individual para tratamento do esgoto residencial.













TAVARES, K. Estações de tratamento de esgoto individuais permitem a reutilização da água. Disponível em: https://extra.globo.com. Acesso em: 18 nov 2014 (adaptado).



","

Em qual etapa decanta-se o lodo a ser separado do esgoto residencial?


",1,2,3,5,6,C,enem-data/enem-2021/101-images/context_img_0.png
11,91,"


A deficiência de lipase ácida lisossômica é uma doença hereditária associada a um gene do cromossomo 10. Os pais dos pacientes podem não saber que são portadores dos genes da doença até o nascimento do primeiro filho afetado. Quando ambos os progenitores são portadores, existe uma chance, em quatro, de que seu bebê possa nascer com essa doença.

ANDERSON, R. A. et. al. In: Situ Localization of the Genetic Locus Encoding the Lysosomal Acid Lipase/Cholesteryl Esterase (LIPA) Deficient in Wolman Disease to Chromosome 10q23.2-q23.3. Genomics, n. 1, jan, 1993 (adaptado).



","

Essa é uma doença hereditária de caráter


",recessivo.,dominante.,codominante.,poligênico.,polialélico.,A,
12,99,"


O eletrocardiograma é um exame cardíaco que mede a intensidade dos sinais elétricos advindo do coração.










","

De acordo com o eletrocardiograma apresentado, qual foi o número de batimentos cardíacos por minuto desse paciente durante o exame?


",30,60,100,120,180,B,enem-data/enem-2021/99-images/context_img_0.png
13,106,"


O emprego de células de combustível a hidrogênio pode ser uma tecnologia adequada ao transporte automotivo. O quadro apresenta características de cinco tecnologias mais proeminentes de células de combustível.












Testes operacionais com esses tipos de células têm indicado que as melhores alternativas para veículos são as que operam em baixos níveis de energia térmica, são formadas por membranas de eletrólitos poliméricos e ocorrem em meio ácido.

THOMAS, S; ZALBOWITZ, M. Full cells: green power. Losalamos National Laboratory. Los Alamos, NM, 1999 (adaptado).



","

A tecnologia testada mais adequada para o emprego em veículos automotivos é a célula de combustível


",AFC.,MSFC.,PEM.,PAFC.,SOFC.,C,enem-data/enem-2021/106-images/context_img_0.png
14,110,"


A curcumina, uma das substâncias que confere a cor alaranjada ao açafrão, pode auxiliar no combate à dengue quando adicionada à água de criadouros do mosquito transmissor. Essa substância acumula-se no intestino do inseto após ser ingerida com a água do criadouro e, quando ativada pela luz, induz a produção de espécies reativas de oxigênio que danificam de forma fatal o tecido do tubo digestório.
 

TOLEDO, K. Corante do açafrão pode ser útil no combate à dengue. Disponível em: http://agencia.fapesp.br. Acesso em: 25 abr. 2015. (adaptado).



","

A forma de combate relatada tem como atividade o(a)


",morte do indivíduo adulto.,redução da eclosão dos ovos.,comprometimento da metamorfose.,impedimento do desenvolvimento da larva.,repelência da forma transmissora da doença.,D,
15,108,"


As águas subterrâneas têm sido contaminadas pelo uso de pesticidas na agricultura. Entre as várias substâncias usualmente encontradas, algumas são apresentadas na figura. A distinção dessas substâncias pode ser feita por meio de uma análise química qualitativa, ou seja, determinando sua presença mediante a adição de um reagente específico. O hidróxido de sódio é capaz de identificar a presença de um desses pesticidas pela reação ácido-base de Brönsted-Lowry.










","

O teste positivo será observado com o pesticida


",I ,II,III,IV ,V,C,enem-data/enem-2021/108-images/context_img_0.png
