,number,context,question,A,B,C,D,E,answer,context-images
0,54,"

O controle biológico, técnica empregada no combate a espécies que causam danos e prejuízos aos seres humanos, é utilizado no combate à lagarta que se alimenta de folhas de algodoeiro. Algumas espécies de borboleta depositam seus ovos nessa cultura. A microvespa Trichogramma sp. introduz seus ovos nos ovos de outros insetos, incluindo os das borboletas em questão. Os embriões da vespa se alimentam do conteúdo desses ovos e impedem que as larvas de borboleta se desenvolvam. Assim, é possível reduzir a densidade populacional das borboletas até níveis que não prejudiquem a cultura.


","

A técnica de controle biológico realizado pela microvespa Trichogramma sp. consiste na


",introdução de um parasita no ambiente da espécie que se deseja combater.,"introdução de um gene letal nas borboletas, a fim de diminuir o número de indivíduos.",competição entre a borboleta e a microvespa para a obtenção de recursos.,modificação do ambiente para selecionar indivíduos melhor adaptados.,aplicação de inseticidas a fim de diminuir o número de indivíduos que se deseja combater.,A,
1,51,"

Para evitar o desmatamento da Mata Atlântica nos arredores da cidade de Amargosa, no Recôncavo da Bahia, o Ibama tem atuado no sentido de fiscalizar, entre outras, as pequenas propriedades rurais que dependem da lenha proveniente das matas para a produção da farinha de mandioca, produto típico da região. Com isso, pequenos produtores procuram alternativas como o gás de cozinha, o que encarece a farinha.


","

Uma alternativa viável, em curto prazo, para os produtores de farinha em Amargosa, que não cause danos à Mata Atlântica nem encareça o produto é a


","construção, nas pequenas propriedades, de grandes fornos elétricos para torrar a mandioca.","plantação, em suas propriedades, de árvores para serem utilizadas na produção de lenha.","permissão, por parte do Ibama, da exploração da Mata Atlântica apenas pelos pequenos produtores.","construção de biodigestores, para a produção de gás combustível a partir de resíduos orgânicos da região.","coleta de carvão de regiões mais distantes, onde existe menor intensidade de fiscalização do Ibama.",D,
2,58,"


O vírus do papiloma humano (HPV, na sigla em inglês) causa o aparecimento de verrugas e infecção persistente, sendo o principal fator ambiental do câncer de colo de útero nas mulheres. O vírus pode entrar pela pele ou por mucosas do corpo, o qual desenvolve anticorpos contra a ameaça, embora em alguns casos a defesa natural do organismo não seja suficiente. Foi desenvolvida uma vacina contra o HPV, que reduz em até 90% as verrugas e 85,6% dos casos de infecção persistente em comparação com pessoas não vacinadas.

Disponível em: http://g1.globo.com. Acesso em: 12 jun. 2011.



","

O benefício da utilização dessa vacina é que pessoas vacinadas, em comparação com as não vacinadas, apresentam diferentes respostas ao vírus HPV em decorrência da


",alta concentração de macrófagos.,elevada taxa de anticorpos específicos anti-HPV circulantes.,aumento na produção de hemácias após a infecção por vírus HPV.,rapidez na produção de altas concentrações de linfócitos matadores.,presença de células de memória que atuam na resposta secundária.,E,
3,49,"


A produção de soro antiofídico é feita por meio da extração da peçonha de serpentes que, após tratamento é introduzida em um cavalo. Em seguida são feitas sangrias para avaliar a concentração de anticorpos produzidos pelo cavalo. Quando essa concentração atinge o valor desejado, é realizada a sangria final para obtenção do soro. As hemácias são devolvidas ao animal, por meio de uma técnica denominada plasmaferese, a fim de reduzir os efeitos colaterais provocados pela sangria.

Disponível em: http://www.infobibos.com. Acesso em: 28 abr. 2010 (adaptado).



","

A plasmaferese é importante, pois, se o animal ficar com uma baixa quantidade de hemácias, poderá apresentar


",febre alta e constante.,redução de imunidade.,aumento da pressão arterial.,quadro de leucemia profunda.,problemas no transporte de oxigênio.,E,
4,57,"

O manual de funcionamento de um captador de guitarra elétrica apresenta o seguinte texto:
Esse captador comum consiste de uma bobina, fios condutores enrolados em torno de um ímã permanente. O campo magnético do ímã induz o ordenamento dos polos magnéticos na corda da guitarra, que está próxima a ele. Assim, quando a corda é tocada, as oscilações produzem variações, com o mesmo padrão, no fluxo magnético que atravessa a bobina. Isso induz uma corrente elétrica na bobina, que é transmitida até o amplificador e, dai, para o alto-falante.


","

Um guitarrista trocou as cordas originais de sua guitarra, que eram feitas de aço, por outras feitas de náilon. Com o uso dessas cordas, o amplificador ligado ao instrumento não emitia mais som, porque a corda de náilon


",isola a passagem de corrente elétrica da bobina para o alto-falante.,varia seu comprimento mais intensamente do que ocorre com o aço.,apresenta uma magnetização desprezível sob a ação do ímã permanente.,induz correntes elétricas na bobina mais intensas que a capacidade do captador.,oscila com uma frequência menor do que a que pode ser percebida pelo captador.,C,
5,55,"


No processo de industrialização da mamona, além do óleo que contém vários ácidos graxos, é obtida uma massa orgânica, conhecida como torta de mamona. Esta massa tem potencial para ser utilizada como fertilizante para o solo e como complemento em rações animais devido a seu elevado valor proteico. No entanto, a torta apresenta compostos tóxicos e alergênicos diferentemente do óleo da mamona. Para que a torta possa ser utilizada na alimentação animal, é necessário um processo de descontaminação.
Revista Química Nova na Escola. V. 32, no1, 2010 (adaptado)



","

A característica presente nas substâncias tóxicas e alergênicas, que inviabiliza sua solubilização no óleo de mamona, é a


",lipofilia.,hidrofilia.,hipocromia.,cromatofilia.,hiperpolarização.,B,
6,56,"


Certas ligas estanho-chumbo com composição específica formam um estético simples, o que significa que uma liga com essas características se comporta como uma substância pura, com um ponto de fusão definido, no caso 183 ºC. Essa é uma temperatura inferior mesmo ao ponto de fusão dos metais que compõem esta liga (o estanho puro funde a 232 ºC e o chumbo puro a 320 ºC), o que justifica sua ampla utilização na soldagem de componentes eletrônicos, em que o excesso de aquecimento deve sempre ser evitado. De acordo com as normas internacionais, os valores mínimo e máximo das densidades para essas ligas são de 8,74 g/mL e 8,82 g/mL, respectivamente. As densidades do estanho e do chumbo são 7,3 g/mL e 11,3 g/mL, respectivamente.
Um lote contendo 5 amostras de solda estanho-chumbo foi analisado por um técnico, por meio da determinação de sua composição percentual em massa, cujos resultados estão mostrados no quadro a seguir.










","

Com base no texto e na análise realizada pelo técnico, as amostras que atendem às normas internacionais são


",I e II.,I e III.,II e IV.,III e V.,IV e V.,C,enem-data/enem-2011/56-images/context_img_0.png
7,60,"


A cal (óxido de cálcio, CaO), cuja suspensão em água é muito usada como uma tinta de baixo custo, dá uma tonalidade branca aos troncos de árvores. Essa é uma prática muito comum em praças públicas e locais privados, geralmente usada para combater a proliferação de parasitas. Essa aplicação, também chamada de caiação, gera um problema: elimina microrganismos benéficos para a árvore.

Disponível em: http://super.abril.com.br. Acesso em: 1 abr. 2010 (adaptado).



","

A destruição do microambiente, no tronco de árvores pintadas com cal, é devida ao processo de


","difusão, pois a cal se difunde nos corpos dos seres do microambiente e os intoxica.","osmose, pois a cal retira água do microambiente, tornando-o inviável ao desenvolvimento de microrganismos.","oxidação, pois a luz solar que incide sobre o tronco ativa fotoquimicamente a cal, que elimina os seres vivos do microambiente.","aquecimento, pois a luz do Sol incide sobre o tronco e aquece a cal, que mata os seres vivos do microambiente.","vaporização, pois a cal facilita a volatilização da água para a atmosfera, eliminando os seres vivos do microambiente.",B,
8,47,"







","

A explicação para a necessidade do uso da engrenagem com trava é:


","O travamento do motor, para que ele não se solte aleatoriamente.","A seleção da velocidade, controlada pela pressão nos dentes da engrenagem.","O controle do sentido da velocidade tangencial, permitindo, inclusive, uma fácil leitura do seu valor.","A determinação do movimento, devido ao caráter aleatório, cuja tendência é o equilíbrio.","A escolha do ângulo a ser girado, sendo possível, inclusive, medi-lo pelo número de dentes da engrenagem.",D,enem-data/enem-2011/47-images/context_img_0.png
9,46,"

Um paciente deu entrada em um pronto-socorro apresentando os seguintes sintomas: cansaço, dificuldade em respirar e sangramento nasal. O médico solicitou um hemograma ao paciente para definir um diagnóstico. Os resultados estão dispostos na tabela:









","

Relacionando os sintomas apresentados pelo paciente com os resultados de seu hemograma, constata-se que


","o sangramento nasal é devido à baixa quantidade de plaquetas, que são responsáveis pela coagulação sanguínea.","o cansaço ocorreu em função da quantidade de glóbulos brancos, que são responsáveis pela coagulação sanguínea.","a dificuldade respiratória decorreu da baixa quantidade de glóbulos vermelhos, que são responsáveis pela defesa imunológica.","o sangramento nasal é decorrente da baixa quantidade de glóbulos brancos, que são responsáveis pelo transporte de gases no sangue.","a dificuldade respiratória ocorreu pela quantidade de plaquetas, que são responsáveis pelo transporte de oxigênio no sangue.",A,enem-data/enem-2011/46-images/context_img_0.png
