,number,context,question,A,B,C,D,E,answer,context-images
0,140,"

Considere 1,7 como aproximação para √3.


","

O tampo a ser escolhido será aquele cujo raio, em centímetros, é igual a


",18,26,30,35,60,A,
1,137,"








Considere que o volume aproximado dessa bola é dado por V = 4ab².


","

O volume dessa bola, em função apenas de b, é dado por


",8b³,6b³,5b³,4b³,2b³,B,enem-data/enem-2015/137-images/context_img_0.png
2,136,"







","

Quando o estudante obtém o maior número possível de bactérias, a temperatura no interior da estufa está classificada como


",muito baixa.,baixa.,média.,alta.,muito alta.,D,enem-data/enem-2015/136-images/context_img_0.png
3,139,"







","

Quantas operações o investidor fez naquele dia?


",3,4,5,6,7,B,enem-data/enem-2015/139-images/context_img_0.png
4,145,"








Essa indústria recebeu a encomenda de uma malha de proteção solar para ser aplicada em um vidro retangular de 5 m de largura por 9 m de comprimento.


","

A medida de d, em milímetros, para que a taxa de cobertura da malha seja de 75% é


",2,1,11/3,4/3,2/3,A,enem-data/enem-2015/145-images/context_img_0.png
5,151,"








O ponto O indica a posição da nova antena, e sua região de cobertura será um círculo cuja circunferência tangenciará externamente as circunferências das áreas de cobertura menores.


","

Com a instalação da nova antena, a medida da área de cobertura, em quilômetros quadrados, foi ampliada em


",8π.,12π.,16π.,32π.,64π.,A,enem-data/enem-2015/151-images/context_img_0.png
6,153,"


As exportações de soja do Brasil totalizaram 4,129 milhões de toneladas no mês de julho de 2012, e registraram um aumento em relação ao mês de julho de 2011, embora tenha havido uma baixa em relação ao mês de maio de 2012.

Disponível em: www.noticiasagricolas.com.br. Acesso em: 2 ago. 2012.



","

A quantidade, em quilogramas, de soja exportada pelo Brasil no mês de julho de 2012 foi de


","4,129 x 10³","4,129 x 106","4,129 x 109","4,129 x 1012","4,129 x 1015",C,
7,144,"







","

A largura e o comprimento reais da pegada, em centímetros, são, respectivamente, iguais a


","4,9 e 7,6.","8,6 e 9,8.","14,2 e 15,4.","26,4 e 40,8.","27,5 e 42,5.",D,enem-data/enem-2015/144-images/context_img_0.png
8,150,"







","

De acordo com os gráficos, a quantidade de embalagens PET recicladas destinadas à produção de tecidos e malhas, em kton, é mais aproximada de


","16,0.","22,9.","32,0.","84,6.","106,6.",C,enem-data/enem-2015/150-images/context_img_0.png
9,147,"








Para controle das aplicações, definiu-se a unidade de insulina como 0,01 mL. Antes de cada aplicação, é necessário descartar 2 unidades de insulina, de forma a retirar possíveis bolhas de ar.
A um paciente foram prescritas duas aplicações diárias: 10 unidades de insulina pela manhã e 10 à noite.


","

Qual o número máximo de aplicações por refil que o paciente poderá utilizar com a dosagem prescrita?


",25,15,13,12,8,A,enem-data/enem-2015/147-images/context_img_0.png
