,number,context,question,A,B,C,D,E,answer,context-images
0,55,"


A cidade medieval é, antes de mais uma sociedade da abundância, concentrada num pequeno espaço em meio a vastas regiões pouco povoadas. Em seguida, é um lugar de produção e de trocas, onde se articulam o artesanato e o comércio, sustentados por uma economia monetária. É também centro de um sistema de valores particular, do qual emerge a prática laboriosa e criativa do trabalho, o gosto pelo negócio e pelo dinheiro, a inclinação para o luxo, o senso da beleza. E ainda um sistema de orga – nização de um espaço fechado com muralhas, onde se penetra por portas e se caminha por ruas e praças e que é guarnecido por torres.
LE GOFF, J.; SCHMITT, J.-C. Dicionário temático do Ocidente Medieval. Bauru: Edusc, 2006.
 



","

No texto, o espaço descrito se caracteriza pela associação entre a ampliação das atividades urbanas e a


",emancipação do poder hegemônico da realeza.,aceitação das práticas usurárias dos religiosos.,independência da produção alimentar dos campos.,superação do ordenamento corporativo dos ofícios.,permanência dos elementos arquitetônicos de proteção.,E,
1,57,"


A maior parte das agressões e manifestações discriminatórias contra as religiões de matrizes africanas ocorrem em locais públicos (57%). É na rua, na via pública, que tiveram lugar mais de 2/3 das agressões, geralmente em locais próximos às casas de culto dessas religiões. O transporte público também é apontado como um local em que os adeptos das religiões de matrizes africanas são discriminados, geralmente quando se encontram paramentados por conta dos preceitos religiosos.

REGO, L. F.; FONSECA, D. P. R.; GIACOMINI, S. M. Cartografia social de terreiros no Rio de Janeiro. Rio de Janeiro: PUC-Rio, 2014.



","




As práticas descritas no texto são incompatíveis com a dinâmica de uma sociedade laica e democrática porque:






",asseguram as expressões multiculturais.,promovem a diversidade de etnias.,falseiam os dogmas teológicos.,estimulam os rituais sincréticos.,restringem a liberdade de credo.,E,
2,59,"


A lenda diz que, em um belo dia ensolarado, Newton estava relaxando sob uma macieira. Pássaros gorjeavam em suas orelhas. Havia uma brisa gentil. Ele cochilou por alguns minutos. De repente, uma maçã caiu sobre a sua cabeça e ele acordou com um susto. Olhou para cima. “Com certeza um pássaro ou um esquilo derrubou a maçã da árvore”, supôs. Mas não havia pássaros ou esquilos na árvore por perto. Ele, então, pensou: “Apenas alguns minutos antes, a maçã estava pendurada na árvore. Nenhuma força externa fez ela cair. Deve haver alguma força subjacente que causa a queda das coisas para a terra”.

SILVA, C. C.; MARTINS, R A. Estudos de história e filosofia das ciências. São Paulo: Livraria da Física, 2006 (adaptado).



","




Em contraponto a uma interpretação idealizada, o texto aponta para a seguinte dimensão fundamental da ciência moderna:





",Falsificação de teses.,Negação da observação.,Proposição de hipóteses.,Contemplação da natureza.,Universalização de conclusões.,C,
3,58,"


TEXTO I
A centralização econômica, o protecionismo e a expansão ultramarina engrandeceram o Estado, embora beneficias sem a burguesia incipiente.

ANDERSON, P. In: DEYON, P. O mercantilismo. Lisboa: Gradiva, 1989 (adaptado).





TEXTO II
As interferências da legislação e das práticas exclusivistas restringem a operação benéfica da lei natural na esfera das relações econômicas.

SMITH, A. A riqueza das Nações. São Paulo: Abril Cultural, 1983 (adaptado).



","

Entre os séculos XVI e XIX, diferentes concepções sobre as relações entre Estado e economia foram formuladas. Tais concepções, associadas a cada um dos textos, confrontam-se, respectivamente, na oposição entre as práticas de:


",valorização do pacto colonial — combate à livre-iniciativa.,defesa dos monopólios régios — apoio à livre concorrência.,formação do sistema metropolitano — crítica à livre navegação.,abandono da acumulação metalista — estímulo ao livre-comércio.,eliminação das tarifas alfandegárias — incentivo ao livre-cambismo.,B,
4,51,"


Saudado por centenas de militantes de movimentos sociais de 40 países, o Papa Francisco encerrou no dia 09/07/2018 o 2.º Encontro Mundial dos Movimentos Populares, em Santa Cruz de La Sierra, na Bolívia. Segundo ele, “a globalização da esperança, que nasce dos povos e cresce entre os pobres, deve substituir esta globalização da exclusão e da indiferença”.

Disponível em: http://cartamaior.com.br. Acesso em: 15 jul. 2015 (adaptado).



","

No texto há uma crítica ao seguinte aspecto do mundo globalizado:


",Liberdade política.,Mobilidade humana.,Conectividade cultural.,Disparidade econômica.,Complementaridade comercial.,D,
5,56,"


TEXTO I
Ouve o barulho do rio, meu filho
Deixa esse som te embalar
As folhas que caem no rio, meu filho
Terminam nas águas do mar
Quando amanhã por acaso faltar
Uma alegria no seu coração
Lembra do som dessas águas de lá
Faz desse rio a sua oração.

MONTE, M. et al. O rio. In: Infinito particular. Rio de Janeiro: Sony: Universal Music, 2006 (fragmento).






TEXTO II
O atrativo ecoturístico não é somente o banho de cachoeira, sentar e caminhar pela praia, cavalgar, mas conhecer a biodiversidade, às vezes supostamente em extinção. Observar baleias, nadar com o golfinho, tocar em corais, sair ao encontro de dezenas de jacarés em seu hábitat natural são símbolos que fascinam um ecoturista. A natureza é transformada em espetáculo diferente da vida urbana moderna.

SANTANA, P. V. Ecoturismo: uma indústria sem chaminé? São Paulo: Labur Edições, 2008.



","

São identificadas nos textos, respectivamente, as seguintes posturas em relação à natureza:


",Exploração e romantização.,Sacralização e profanação.,Preservação e degradação.,Segregação e democratização.,Idealização e mercantilização.,E,
6,50,"


Tratava-se agora de construir: e construir um ritmo novo. Para tanto, era necessário convocar todas as forças vivas da Nação, todos os homens que, com vontade de trabalhar e confiança no futuro, pudessem erguer, num tempo novo, um novo Tempo. E, à grande convocação que conclamava o povo para a gigantesca tarefa, começaram a chegar de todos os cantos da imensa pátria os trabalhadores: os homens simples e quietos, com pés de raiz, rostos de couro e mãos de pedra, e que, no calcanho, em carro de boi, em lombo de burro, em paus-de-arara, por todas as formas possíveis e imagináveis, em sua mudez cheia de esperança, muitas vezes deixando para trás mulheres e filhos a aguardar suas promessas de melhores dias; foram chegando de tantos povoados, tantas cidades cujos nomes pareciam cantar saudades aos seus ouvidos, dentro dos antigos ritmos da imensa pátria… Terra de sol, Terra de luz… Brasil! Brasil! Brasil!

MORAES, V.; JOBIM, A. C. Brasília, sinfonia da alvorada. III – A chegada dos candangos. Disponível em: www.viniciusdemoraes.com.br. Acesso em: 14 ago. 2012 (adaptado).



","

No texto, a narrativa produzida sobre a construção de Brasília articula os elementos políticos e socioeconômicos indicados, respectivamente, em:


",Apelo simbólico e migração inter-regional.,Organização sindical e expansão do capital.,Segurança territorial e estabilidade financeira.,Consenso partidário e modernização rodoviária.,Perspectiva democrática e eficácia dos transportes.,A,
7,52,"


A Declaração Universal dos Direitos Humanos, adotada e proclamada pela Assembleia Geral da ONU na Resolução 217-A, de 10 de dezembro de 1948, foi um acontecimento histórico de grande relevância. Ao afirmar, pela primeira vez em escala planetária, o papel dos direitos humanos na convivência coletiva, pode ser considerada um evento inaugural de uma nova concepção de vida internacional.

LAFER, C. Declaração Universal dos Direitos Humanos (1948). In: MAGNOLI, D. (Org.) História da paz. São Paulo: Contexto, 2008.



","

A declaração citada no texto introduziu uma nova concepção nas relações internacionais ao possibilitar a


",superação da soberania estatal.,defesa dos grupos vulneráveis.,redução da truculência belicista.,impunidade dos atos criminosos.,inibição dos choques civilizacionais.,B,
8,60,"


Dificilmente passa-se uma noite sem que algum sitiante tenha seu celeiro ou sua pilha de cereais destruídos pelo fogo. Vários trabalhadores não diretamente envolvidos nos ataques pareciam apoiá-los, como se vê neste depoimento ao The Times: “deixa queimar, pena que não foi a casa”; “podemos nos aquecer agora”; “nós só queríamos algumas batatas; há um fogo ótimo para cozinhá-las”.
HOBSBAWM, E.; RUDÉ, G. Capitão Swing. Rio de Janeiro: Francisco Alves, 1982 (adaptado).



","





A revolta descrita no texto, ocorrida na Inglaterra no século XIX, foi uma reação ao seguinte processo socioespacial:







",Restrição da propriedade privada.,Expropriação das terras comunais.,Imposição da estatização fundiária.,Redução da produção monocultora.,Proibição das atividades artesanais.,B,
9,54,"







","

A divisão política do mundo como apresentada na imagem seria possível caso o planeta fosse marcado pela estabilidade do(a)


",ciclo hidrológico.,processo erosivo.,estrutura geológica.,índice pluviométrico.,pressão atmosférica.,C,enem-data/enem-2019/54-images/context_img_0.png
