,number,context,question,A,B,C,D,E,answer,context-images
0,118,"


O consumo exagerado de refrigerantes é preocupante, pois contribui para o aumento de casos de obesidade e diabetes. Considere dois refrigerantes enlatados, um comum e um diet, e que ambos possuam a mesma quantidade de aditivos, exceto pela presença de açúcar. O refrigerante comum contém basicamente água carbonatada e grande quantidade de açúcar; já o refrigerante diet tem água carbonatada e adoçantes, cujas massas são muito pequenas.

CAVAGIS, A. D. M.; PEREIRA, E. A.; OLIVEIRA, L. C. Um método simples para avaliar o teor de sacarose e CO2 em refrigerantes. Química Nova na Escola, n. 3, ago. 2014 (adaptado).



","

Entre as duas versões apresentadas, o refrigerante comum possui


",maior densidade.,menor viscosidade.,maior volume de gás dissolvido.,menor massa de solutos dissolvidos.,maior temperatura de congelamento.,A,
1,140,"


A cada bimestre, a diretora de uma escola compra uma quantidade de folhas de papel ofício proporcional ao número de alunos matriculados. No bimestre passado, ela comprou 6 000 folhas para serem utilizadas pelos 1 200 alunos matriculados. Neste bimestre, alguns alunos cancelaram suas matrículas e a escola tem, agora, 1 150 alunos. A diretora só pode gastar R$ 220,00 nessa compra, e sabe que o fornecedor da escola vende as folhas de papel ofício em embalagens de 100 unidades a R$ 4,00 a embalagem. Assim, será preciso convencer o fornecedor a dar um desconto à escola, de modo que seja possível comprar a quantidade total de papel ofício necessária para o bimestre.



","

O desconto necessário no preço final da compra, em porcentagem, pertence ao intervalo


","(5,0 ; 5,5).","(8,0 ; 8,5).","(11,5 ; 12,5).","(19,5 ; 20,5).","(3,5 ; 4,0).",A,
2,141,"


O calendário maia apresenta duas contagens simultâneas de anos, o chamado ano Tzolkim, composto por 260 dias e que determinava o calendário religioso, e o ano Haab, composto por 365 dias e que determinava o calendário agrícola. Um historiador encontrou evidências de que gerações de uma mesma família governaram certa comunidade maia pelo período de 20 ciclos, sendo cada ciclo formado por 52 anos Haab.

Disponível em: www.suapesquisa.com. Acesso em: 20 ago. 2014.



","

De acordo com as informações fornecidas, durante quantos anos Tzolkim aquela comunidade maia foi governada por tal família?


",741,1 040,1 460,2 100,5 200,C,
3,117,"


Uma cafeteria adotou copos fabricados a partir de uma composição de 50% de plástico reciclado não biodegradável e 50% de casca de café. O copo é reutilizável e retornável, pois o material, semelhante a uma cerâmica, suporta a lavagem. Embora ele seja comercializado por um preço considerado alto quando comparado ao de um copo de plástico descartável, essa cafeteria possibilita aos clientes retornarem o copo sujo e levarem o café quente servido em outro copo já limpo e higienizado. O material desse copo oferece também o conforto de não esquentar na parte externa.

Cafeteria adota copo reutilizável feito com casca de café. Disponível em: www.gazetadopovo.com.br. Acesso em: 5 dez. 2019 (adaptado).



","

Quais duas vantagens esse copo apresenta em comparação ao copo descartável?


",Ter a durabilidade de uma cerâmica e ser totalmente biodegradável.,Ser tão durável quanto uma cerâmica e ter alta condutividade térmica.,Ser um mau condutor térmico e aumentar o resíduo biodegradável na natureza.,Ter baixa condutividade térmica e reduzir o resíduo não biodegradável na natureza.,Ter alta condutividade térmica e possibilitar a degradação do material no meio ambiente.,D,
4,145,"


Uma empresa de transporte faz regularmente um levantamento do número de viagens realizadas durante o dia por todos os 160 motoristas cadastrados em seu aplicativo. Em um certo dia, foi gerado um relatório, por meio de um gráfico de barras, no qual se relacionaram a quantidade de motoristas com a quantidade de viagens realizadas até aquele instante do dia.










","

Comparando os valores da média, da mediana e da moda da distribuição das quantidades de viagens realizadas pelos motoristas cadastrados nessa empresa, obtém-se


",mediana = média < moda.,mediana = moda < média.,mediana < média < moda.,moda < média < mediana.,moda < mediana < média.,E,enem-data/enem-2023/145-images/context_img_0.png
5,115,"


É comum em viagens de avião sermos solicitados a desligar aparelhos cujo funcionamento envolva a emissão ou a recepção de ondas eletromagnéticas, como celulares. A justificativa dada para esse procedimento é, entre outras coisas, a necessidade de eliminar fontes de sinais eletromagnéticos que possam interferir nas comunicações, via rádio, dos pilotos com a torre de controle.



","

Essa interferência poderá ocorrer somente se as ondas emitidas pelo celular e as recebidas pelo rádio do avião


",forem ambas audíveis.,tiverem a mesma potência.,tiverem a mesma frequência.,tiverem a mesma intensidade.,propagarem-se com velocidades diferentes.,C,
6,142,"


Sejam a, b e c as medidas dos lados de um triângulo retângulo, tendo a como medida da hipotenusa. Esses valores a, b e c são, respectivamente, os diâmetros dos círculos C1 , C2 e C3, como apresentados na figura.












Observe que essa construção assegura, pelo teorema de Pitágoras, que área (C1) = área (C2) + área (C3).
Um professor de matemática era conhecedor dessa construção e, confraternizando com dois amigos em uma pizzaria onde são vendidas pizzas somente em formato de círculo, lançou um desafio: mesmo sem usar um instrumento de medição, poderia afirmar com certeza se a área do círculo correspondente à pizza que ele pedisse era maior, igual ou menor do que a soma das áreas das pizzas dos dois amigos. Assim, foram pedidas três pizzas. O professor as dividiu ao meio e formou um triângulo com os diâmetros das pizzas, conforme indicado na figura.












A partir da medida do ângulo a, o professor afirmou que a área de sua pizza é maior do que a soma das áreas das outras duas pizzas.



","

A área da pizza do professor de matemática é maior do que a soma das áreas das outras duas pizzas, pois


",0° < a < 90°,a = 90°,90° < a < 180°,a = 180°,180° < a < 360°,C,"enem-data/enem-2023/142-images/context_img_0.png,enem-data/enem-2023/142-images/context_img_1.png"
7,144,"


O gerente de uma fábrica pretende comparar a evolução das vendas de dois produtos similares (I e II). Para isso, passou a verificar o número de unidades vendidas de cada um desses produtos em cada mês. Os resultados dessa verificação, para os meses de abril a junho, são apresentados na tabela.












O gerente estava decidido a cessar a produção do produto II no mês seguinte àquele em que as vendas do produto I superassem as do produto II.
Suponha que a variação na quantidade de unidades vendidas dos produtos I e II se manteve, mês a mês, como no período representado na tabela.



","

Em qual mês o produto II parou de ser produzido?


",Junho.,Julho.,Agosto.,Setembro.,Outubro.,D,enem-data/enem-2023/144-images/context_img_0.png
8,139,"


Uma pessoa pratica quatro atividades físicas — caminhar, correr, andar de bicicleta e jogar futebol — como parte de seu programa de emagrecimento. Essas atividades são praticadas semanalmente de acordo com o quadro, que apresenta o número de horas diárias por atividade.












Ela deseja comemorar seu aniversário e escolhe o dia da semana em que o gasto calórico com as atividades físicas  praticadas for o maior. Para tanto, considera que os valores dos gastos calóricos das atividades por hora (cal/h) são os seguintes:










","

O dia da semana em que será comemorado o aniversário é


",segunda-feira.,terça-feira.,quarta-feira.,quinta-feira.,sexta-feira.,C,"enem-data/enem-2023/139-images/context_img_0.png,enem-data/enem-2023/139-images/context_img_1.png"
9,148,"







","

Considere que os números colocados nos vértices do triângulo estejam em progressão aritmética de razão igual a 2.
Nas condições propostas, quais as possíveis soluções para as somas dos números que formam os lados do triângulo?


","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 7.","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 7 e outra em que as somas são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 9 e outra em que as somas são iguais a 12.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 10 e outra em que as somas são iguais a 11.",E,enem-data/enem-2023/148-images/context_img_0.png
10,146,"


A foto mostra a construção de uma cisterna destinada ao armazenamento de água. Uma cisterna como essa, na forma de cilindro circular reto com 3 m² de área da base, foi abastecida por um curso-d’água com vazão constante. O seu proprietário registrou a altura do nível da água no interior da cisterna durante o abastecimento em diferentes momentos de um mesmo dia, conforme o quadro.














Disponível em: www.paraibamix.com. Acesso em: 3 dez. 2012.




","

Qual foi a vazão, em metro cúbico por hora, do curso-d’água que abasteceu a cisterna?


","0,3","0,5","0,9","1,8","2,7",C,"enem-data/enem-2023/146-images/context_img_0.png,enem-data/enem-2023/146-images/context_img_1.png"
11,143,"


Entre maratonistas, um parâmetro utilizado é o de economia de corrida (EC). O valor desse parâmetro é calculado pela razão entre o consumo de oxigênio, em mililitro (mL) por minuto (min), e a massa, em quilograma (kg), do atleta correndo a uma velocidade constante.

Disponível em: www.treinamentoonline.com.br. Acesso em: 23 out. 2019 (adaptado).



","

Um maratonista, visando melhorar sua performance, auxiliado por um médico, mensura o seu consumo de oxigênio por minuto a velocidade constante. Com base nesse consumo e na massa do atleta, o médico calcula o EC do atleta.
A unidade de medida da grandeza descrita pelo parâmetro EC é


",enem-data/enem-2023/143-images/alt_img_0.png,enem-data/enem-2023/143-images/alt_img_1.png,enem-data/enem-2023/143-images/alt_img_2.png,enem-data/enem-2023/143-images/alt_img_3.png,enem-data/enem-2023/143-images/alt_img_4.png,B,
