,number,context,question,A,B,C,D,E,answer,context-images
0,2,"


No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[…]
Any man’s death diminishes me,
Because I am involved in mankind.

DONNE, J. The Works of John Donne. Londres: John W. Parker, 1839 (fragmento).



","

Nesse poema, a expressão “No man is an island” ressalta o(a)


",medo da morte.,ideia de conexão.,conceito de solidão.,risco de devastação.,necessidade de empatia.,B,
1,5,"


Spanglish
pues estoy creando Spanglish
bi-cultural systems
scientific lexicographical
inter-textual integrations
two expressions
existentially wired
two dominant languages
continentally abrazándose
in colloquial combate
imperio spanglish emerges
sobre territorio bi-lingual
las novelas mexicanas
mixing with radiorocknroll
immigrant/migrant
nasal mispronouncements
hip-hop, street salsa, spanish pop
standard english classroom
with computer technicalities
spanglish is literally perfect
 

LAVIERA T. Benedición. The Complete Poetry of Talo Laviera. Houston: Arte Público Press, 2014 (fragmento).



","

Nesse poema de Tato Laviera, o eu lírico destaca uma


",convergência linguístico-cultural.,características históricio-cultural.,tendência estilístico-literária,discriminação cultural.,censura musical.,A,
2,4,"


Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soi in smal bags: may home never fade in our hearts
We carry carnage of mining. droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats. bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples… built on our ancestors’ backs
We carry old homes along the spine, new dreams in our chests
We carry yesterday, today and tomorrow
We’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes
And we carry our mother tongues
[…]
As we drift… in our rubber boats… from shore… to shore…. to shore…
 

PING. W. Disponivel em: https://poets.org. Acesso en 1 jun. 2023 (fragmento)



","

Ao retratar a trajetória de refugiados, o poema recorre à imagem de viagem marítima para destacar o(a)


",risco de choques culturais.,impacto do ensino de história.,importância da luta ambiental.,existência de experiências plurais.,necessidade de capacitação profissional.,D,
3,3,"


Que quede claro

Cómo es posible que se cierren
tantas bocas, tantos ojos,
tantas puertas, muchas mentes ante un
acto xenofóbico sin precedentes.

Presidentes, ministros, cancilleres,
autoridades, responsables.
¿Quién pagará el daño causado a familiares?
Por un loco del estrada sin modales. […]

Se alejó de aquel lugar donde su color era
mucho más que su color, era su raza.
Persiguiendo un sueño que desapareció,
que se fusionó y terminó en una pesadilla. […]

Déjame que te cuente esta historia
que sucedió en el metro de Barcelona,
cuando aquella mañana la injusticia
y xenofobia se juntaron de la mano,
protagonizando una de las más feas escenas de racismo.

En aquel vagón viajaba un ángel de color diferente,
en su camino se interpuso aquel inconsciente,
que aún sabiendo lo que hacía,
seguía hablando con su gente.

Le dio al ángel dos patadas en su cara,
se rió de ella sin cambiar la mirada.
Y aún anda suelto, aún anda suelto…


ORISHAS. In: Cosita buena. Delaware: Suerte Publishing LCC, 2008 (fragmento).



","

A letra da canção Que quede claro, da banda cubana Orishas, revela o(a)


",indignação diante do desrespeito à diversidade.,violência característica das grandes metrópoles.,preconceito da sociedade com relação ao misticismo.,descuido da população com sonhos dos imigrantes.,falta de segurança existente no transporte público urbano.,A,
4,2,"


Manipular es sembrar en la conciencia y en la mente de la gente ideas, actitudes, conceptos y aspiraciones -incluso falsas, inmorales y deshonestas- que sirvan a los objetivos -ocultos o abiertos- de sus manipuladores.
Manipular es una de las primeras cosas que aprendemos en la vida. A muy temprana edad, los bebes descubren el poder del llanto, el berrinche, los pataleos, la risa o alguna “gracia” como recursos para demandar atención, exigir comida, pedir ayuda o simplemente mantener ocupada a la gente. Nuestras actitudes de adultos reflejan lo mucho o poco que algunos maduraron, procesaron y rebasaron ese periodo.
Para que exista un manipulador, debe haber una base de ciudadanos indefensos, dóciles, desinformados. El manipulador es celoso, a veces casi paranoico; no admite cuestionamientos ni quiere que nadie ocupe su espacio, sabe que su vigencia depende de presencia controladora. Todos los días, hay que marcar la línea de discurso, incidir en el debate. El ridículo vale la pena si con ello se logra una cortina de humo.

Disponível em: www.forbes.com.mx. Acesso em: 7 out. 2021 (adaptado).



","

Nesse texto, a expressão “cortina de humo” revela que o manipulador


",amadurece tardiamente.,busca mascarar a verdade.,rejeita questionamentos alheios.,aproxima-se de pessoas indefesas.,faz-se presente de forma controladora.,B,
5,7,"


TEXTO I
Zapeei os canais, como há dezenas de anos faço, e pá: parei num que exibia um episódio daquela velha família do futuro, Os Jetsons.
Nesse episódio em particular, a Jane Jetson, esposa do George, tratava de dirigir aquele veículo voador deles. Meu queixo foi caindo à medida que as piadinhas machistas sobre mulheres dirigirem foram se acumulando.
Impressionante! Que futuro careta aqueles roteiristas imaginavam! Seriam incapazes de projetar algo melhor, e não apenas em termos de tecnologias, robôs e carros voadores? Será que nossa máxima visão de futuro só atinge as coisas, e jamais as pessoas? Como a Jane, uma mulher de 33 anos no desenho, poderia ser o que foram as minhas bisavós?
O futuro, naquele desenho, se esqueceu de ser melhor nas relações entre as pessoas. Aliás… tão parecido com a vida.
Fiquei de cara, como dizemos aqui, ou como dizíamos na minha adolescência, pobre adolescência, aprendendo, sem querer e sem muita defesa, um futuro tão besta quanto o passado.

RIBEIRO, A. E. Disponível em: www.rascunho.com.br. Acesso em: 21 out. 2021 (adaptado).





TEXTO II
Masculino e feminino são campos escorregadios que só se definem por oposição, sempre incompleta, um do outro. São formações imaginárias que buscam produzir uma diferença radical e complementar onde só existem, de fato, mínimas diferenças. O resto é questão de estilo. Até pelo menos a segunda metade do século 19, o divisor de águas era claro: os homens ocupavam o espaço público. As mulheres tratavam da vida privada. Privada de quê? De visibilidade, diria Hannah Arendt. De visibilidade pública. Do que as mulheres estiveram privadas até o século 20 foi de presença pública manifesta não em imagem, mas em palavra. A palavra feminina, reservada ao espaço doméstico, não produzia diferença na vida social.

KHEL, M. R. Disponível em: https://alias.estadao.com.br. Acesso em: 19 out. 2021 (adaptado).



","

A representação da mulher apresentada no Texto I pode ser explicada pelo Texto II no que diz respeito à(às)


",censura a formas de expressão femininas.,ausência da figura feminina na vida pública.,construções imaginárias cristalizadas na sociedade.,limitações inerentes às figuras femininas e masculinas.,dificuldade na atribuição de papéis masculinos e femininos.,C,
6,4,"


“Caramelos” en sus suelos

Las tierras de España, tu vista enamoran;
sus gentes; te amistan; ¿“cocinas”?, ¡“te molan”!

¿El plato común?, ¡pues «tortilla/patatas»!;
en bares, figones, o tascas, ¡las «tapas»!;
“sabor nacional”, ¡el «gazpacho», sus «vinos»,
«sangría», y «jamón» de sabrosos cochinos!
(Cual “sellos”, te grabas sus «Típicos Platos»;
¡sabrás por dó pasas, por sólo tu olfato!,
¡si en cada lugar, un sabor peculiar,
“al paso” cautiva tu buen paladar!).

¡Son más que “recetas”!, será “alegoría”!,
¡será “identidad”! (¡hay “reserva” en su «Guía»!);
son platos allende un “timón conductor”,
¡son mar, ríos, sierras!, ¡son valles, son flor!,
¡y aportan “Conventos” a gastronomia,
sus «dulces»! (sabor “celestial”, ¡de ambrosia!).

QUIROZ Y LÓPEZ M. Disponível em: https://pt.calameo.com. Acesso em: 25 out. 2021.



","

Nesse poema, o eu poético enaltece a


",característica amistosa do povo espanhol.,beleza das paisagens naturais da Espanha.,variedade de pratos na gastronomia espanhola.,relação entre os sentidos do paladar e do olfato na gastronomia.,gastronomia como representação da identidade cultural de um povo.,E,
7,10,"


Se a interferência de contas falsas em discussões políticas nas redes sociais já representava um perigo para os sistemas democráticos, sua sofisticação e maior semelhança com pessoas reais têm agravado o problema pelo mundo.
O perigo cresceu porque a tecnologia e os métodos evoluíram dos robôs, os “bots” — softwares com tarefas on-line automatizadas —, para os “ciborgues” ou “trolls”, contas controladas diretamente por humanos com ajuda de um pouco de automação.
Mas pesquisadores começam agora a observar outros padrões de comportamento: quando mensagens não são programadas, sua publicação se concentra só em horários de trabalho, já que é controlada por pessoas cuja profissão é exatamente essa, administrar um perfil falso durante o dia.
Outra pista: a pobreza vocabular das mensagens publicadas por esses perfis. Um funcionário de uma empresa que supostamente produzia e vendia perfis falsos explica que às vezes “faltava criatividade” para criar mensagens distintas controlando tantos perfis falsos ao mesmo tempo.

GRAGNANI, J. Disponível em: www.bbc.com. Acesso em: 16 dez. 2017.



","

De acordo com o texto, a análise de características da linguagem empregada por perfis automatizados contribui para o(a)


",controle da atuação dos profissionais de TI.,"desenvolvimento de tecnologias como os ""trolls"".",flexibilização dos turnos de trabalho dos controladores.,"necessidade de regulamentação do funcionamento dos ""bots""",identificação de padrões de disseminação de informações inverídicas.,E,
8,6,"


Alguém muito recentemente cortara o mato, que na época das chuvas crescia e rodeava a casa da mãe de Ponciá Vicêncio e de Luandi. Havia também vestígios de que a terra fora revolvida, como se ali fosse plantar uma pequena roça. Luandi sorriu. A mãe devia estar bastante forte, pois ainda labutava a terra. Cantou alto uma cantiga que aprendera com o pai, quando eles trabalhavam na terra dos brancos. Era uma canção que os negros mais velhos ensinavam aos mais novos. Eles diziam ser uma cantiga de voltar, que os homens, lá na África, entoavam sempre, quando estavam regressando da pesca, da caça ou de algum lugar. O pai de Luandi, no dia em que queria agradar à mulher, costumava entoar aquela cantiga ao se aproximar de casa. Luandi não entendia as palavras do canto; sabia, porém, que era uma língua que alguns negros falavam ainda, principalmente os velhos. Era uma cantiga alegre. Luandi, além de cantar, acompanhava o ritmo batendo com as palmas das mãos em um atabaque imaginário. Estava de regresso à terra. Voltava em casa. Chegava cantando, dançando a doce e vitoriosa cantiga de regressar.

EVARISTO, C. Ponciá Vicêncio. Rio de Janeiro: Pallas, 2018.



","

A leitura do texto permite reconhecer a “cantiga de voltar” como patrimônio linguístico que


",representa a memória de uma língua africana extinta.,exalta a rotina executada por jovens afrodescendentes.,preserva a ancestralidade africana por meio da tradição oral.,resgata a musicalidade africana por meio de palavras inteligíveis,remonta à tristeza dos negros mais velhos com saudade da África.,C,
9,3,"






","

Esse cartaz de campanha sugere que


",os lixões precisam de ampliação.,o desperdício degrada o ambiente.,os mercados doam alimentos perecíveis.,a desnutrição compromete o raciocínio.,as residências carecem de refrigeradores.,B,enem-data/enem-2023/3-images/context_img_0.png
